AUTOMOBILE HIGH-TEMPERATURE PEST EXTERMINATION DEVICE	PATENT TITLE
At this time, the air is heated while passing through the heating members 40 arranged in the discharge parts 33, and the heated air is discharged from the interior of the treatment chamber 20 through the discharge parts 33.	EMBODIMENT
The heated air discharged from the discharge parts 33 circulates along the walls of the chamber 20.	EMBODIMENT
The air volume and air speed of the fan member 35 of the circulation fan device 30 will be described.	EMBODIMENT
Since the fan member 35 of the present embodiment is a large-sized propeller fan having a diameter of about 1000 mm to 1500 mm, the air volume thereof is 1500 m3 per minute, and the average air speed is 5.8 m per second, a degree at which the leaves and branches of a tree would shake (wind power 2).	EMBODIMENT
The treatment chamber of the present embodiment, in the case of a large chamber, has a volume of 391 m3, and in the case of a small chamber, has a volume of 346 m3.	EMBODIMENT
In accordance with experimentation, an air speed of heated air of 4 to 7 m/sec (wind power 2 to 3) is preferred, since the heat treatment can be efficiently performed at such an air speed.	EMBODIMENT
In the present embodiment, since the efficiency of raising and maintaining the heat treatment temperature (60 to 80 °C) is good, the processing time of the entire process can be drastically reduced to about 30 minutes or less.	INVENTION_ADVANTAGE
Next, the circulation and distribution of heated air within the heating chamber will be described.	EMBODIMENT
Heated air discharged from the discharge parts 33 circulates along the side walls of the treatment chamber 20, as described above.	EMBODIMENT
The heated air circulating in the direction of the first side wall part 21a of FIG. 1 then circulates in the direction of the fourth side wall part 21d along the first side wall part 21a.	FIGURE DESCRIPTION
Further, heated air circulating in the direction of the second side wall part 21b then circulates in the direction of the fourth side wall part 21d along the second side wall part 21b bilaterally symmetrically with the heated air circulating in the direction of the first side wall part 21b.	FIGURE DESCRIPTION
The first side wall part 21a side heated air and the second side wall part 21b side heated air combine in the central part of the fourth side wall part 21d, circulate in the central direction of the treatment chamber 20, and are suctioned by the fan member 35 of the circulation fan device 30 toward the circulation fan device 30.	FIGURE DESCRIPTION
Thus, the circulation fan device 30 creates a flow of air from the third side wall part 21c to the fourth side wall part 21d along the side wall part 21 of the treatment chamber 20 by suctioning air inside the treatment chamber through the suction part 32 on the front side of the circulation fan device 30 by the fan member 35 and discharging the air as heated air from the discharge parts 33 on both sides.	FIGURE DESCRIPTION
Further, since the heated air circulated on the fourth side wall part 21d side is again suctioned by the fan member 35, the heated air in the treatment chamber 20 is circulated.	FIGURE DESCRIPTION
Since the discharge parts 33 are formed by fully opening the side parts of the circulation fan device 30, the discharged heated air is circulated in the treatment chamber 20 in the substantially horizontal directions.	FIGURE DESCRIPTION
When the heated air is circulated by the circulation fan device 30, as shown in FIG. 1, rectification members 45 for adjusting the flow direction of the heated air are preferably arranged in various locations within the treatment chamber 20.	FIGURE DESCRIPTION
The rectification members 45 each include a wind receiving surface 49 angled in a predetermined direction with respect to the flow direction of the heated air.	FIGURE DESCRIPTION
The wind receiving surfaces 49 guide the flow direction in the direction of inclination when the heated air collides with the wind receiving surfaces 49 of the rectification members 45.	FIGURE DESCRIPTION
The rectification members 45 of the present embodiment include wind direction auxiliary parts 47 arranged in the corners of the treatment chamber 20, and a wind direction auxiliary part 48 arranged in the vicinity of the junction of the heated air from the first side wall part 21a side and the heated air from the second side wall part 21b side, as well as wind direction restriction parts 46 consisting of plate-like members disposed in the vicinity of the discharge parts 33 of the circulation fan device 30.	FIGURE DESCRIPTION
The heated air discharged from the circulation fan device 30 can be more efficiently circulated and distributed within the treatment chamber by providing the wind direction restriction parts 46 and the wind direction auxiliary parts 47, 48 of the rectification members 45.	INVENTION_ADVANTAGE
Next, as shown in FIG. 1, vehicle interior temperature detection means 50 are members which are mounted inside the to-be-treated automobiles C and which detect the vehicle interior temperature.	FIGURE DESCRIPTION
A known temperature sensor is used as the vehicle interior temperature detection means 50.	EMBODIMENT
Vehicle interior temperature detection means 50 are appropriately mounted in a position which is relatively resistant to heating or a position which is relatively easily heated.	EMBODIMENT
Positions which are relatively resistant to heating include the interior of the engine compartment, under the seats, etc., of the to-be-treated automobile C, and are positions (low-temperature positions) at which the temperature tends to be lowest compared with other positions within the to-be-treated automobile C at the time of high-temperature treatment.	EMBODIMENT
Furthermore, positions which are relatively easily heated include on the seat, etc., of the to-be-treated automobile C, and are positions (high-temperature positions) at which the temperature tends to be highest as compared to the other positions within the to-be-treated automobile C at the time of high-temperature treatment.	EMBODIMENT
By detecting the temperature at positions (low-temperature positions) at which the temperature tends to be lowest compared with other positions within the to-be-treated automobile C using the vehicle interior temperature detection means 50, it is possible to assume that the vehicle interior temperature of the to-be-treated automobile C as a whole is not less than the temperature detected by the vehicle interior temperature detection means 50.	EMBODIMENT
Furthermore, by detecting the temperature at positions (high-temperature positions) at which the temperature tends to be highest compared with other positions within the to-be-treated automobile C using the vehicle interior temperature detection means 50, it is possible to assume that the vehicle interior temperature of the to-be-treated automobile 50 as a whole is not less than the temperature detected by the vehicle interior temperature detection means 50.	EMBODIMENT
By mounting vehicle interior temperature detection means 50 in both the positions (low-temperature positions) which are resistant to heating and the positions (high-temperature positions) which are easily heated and detecting the temperatures thereof, it is possible to assume that the vehicle interior temperature of the to-be-treated automobile C as a whole is not less than the temperature detected at the low-temperature positions and not greater than the temperature detected at the high-temperature positions.	EMBODIMENT
Note that vehicle interior temperature detection means 50 are preferably arranged in several locations within the to-be-treated automobile C.	EMBODIMENT
By detecting the vehicle interior temperatures at several locations, the vehicle interior temperature of the to-be-treated automobile C can be more accurately estimated.	INVENTION_ADVANTAGE
As shown in FIG. 1, the heating temperature control means 60 is mounted outside the treatment chamber 20 and controls the heating temperature of the circulation fan device 30 based on the vehicle interior temperature detection means 50.	FIGURE DESCRIPTION
Any known control device can be used as the heating temperature control means 60.	EMBODIMENT
Insects such as stink bugs, which are extermination target pests, are weak against high temperatures.	REFERENCE
Such insects are killed by exposure to high temperatures of, for example, 50 °C or higher.	REFERENCE
It is thought that the proteins within the body of the pests solidify due to the high temperatures.	REFERENCE
However, the to-be-treated automobiles C are precision machinery and utilize members made of resins in various places.	REFERENCE
Thus, exposure to high temperatures for long periods adversely affects various equipment and members, etc., which may cause damage such as breakdown, damage, or deterioration.	REFERENCE_PROBLEM
In order to avoid adverse effects on the to-be-treated automobiles C due to the high temperatures, the heating treatment is set to 80 °C or less.	EMBODIMENT
The heating temperature control means 60 controls so as to restrict the vehicle interior temperature of the to-be-treated automobile C detected by the vehicle interior temperature detection means 50 to 50 to 80 °C, more preferably 60 to 75 °C.	EMBODIMENT
Control of the circulation fan device 30 is performed by adjusting the rotation speed of the fan member 35, the amount of steam provided to the circulation fan device 30, etc.	EMBODIMENT
The heating temperature control means 60 controls the heating temperature of the circulation fan device 30 based on the chamber interior temperature detection means 25 along with the control of the circulation fan device 30 based on the vehicle interior temperature detection means 50.	EMBODIMENT
The chamber interior temperature detected by the chamber interior temperature detection means 25 is estimated to be the highest temperature within the treatment chamber 20, and thus corresponds to the temperature upper limit of the chamber interior temperature.	EMBODIMENT
Further, the chamber interior temperature corresponds to the vehicle exterior temperature of the to-be-treated automobile C, and thus impacts pest extermination of the exterior of the to-be-treated automobile C, damage due to the high temperature, or the like.	EMBODIMENT
Thus, in the same manner as the vehicle interior temperature, the heating temperature control means 60 control so as to restrict the chamber interior temperature (the vehicle exterior temperature of the to-be-treated automobile C) within the treatment chamber detected by the chamber interior temperature detection means 25 to 50 to 80 °C or less, more preferably 60 to 75 °C.	EMBODIMENT
Note that in the case of the treatment chamber 20A, in which a plurality of units 20u are connected, since it is necessary to manage the chamber interior temperature as the entire treatment chamber 20A (all units), it is preferable to collectively control the detection temperature based on the chamber interior temperature detection means of each unit 20u.	EMBODIMENT
Control of the treatment duration of the high-temperature treatment is performed by the heating temperature control means 60.	EMBODIMENT
The treatment duration of the high-temperature treatment is set in accordance with the size or the number of the to-be-treated automobiles C, etc., and is, for example, about 10 to 20 minutes after the vehicle interior temperature of the to-be-treated automobile C reaches a predetermined temperature.	EMBODIMENT
By selected this treatment duration, extermination target pests can be reliably killed, and processing efficiency and cost are also preferable.	INVENTION_ADVANTAGE
In the present embodiment, since the efficiency of raising and maintaining the heat treatment temperature (60 to 80 °C) is high, as described above, the overall treatment duration can be shortened to about 30 minutes or less.	INVENTION_ADVANTAGE
In the high-temperature pest extermination device 10 of the present invention, as shown in FIG. 4, a plurality of treatment chambers are arranged in parallel rows (20L, 20L, 20L), whereby high-temperature treatment can be performed on a plurality of to-be-treated automobiles C.	FIGURE DESCRIPTION
The plurality of treatment chambers arranged in parallel rows 20L, 20L, 20L may be composed of a plurality of connectable units 20u connected in series (treatment chamber 20A).	FIGURE DESCRIPTION
The illustrated example includes three rows of treatment chambers 20L, 20L, 20L each composed of a treatment chamber 20A in which six units 20u are connected in a single row.	FIGURE DESCRIPTION
Each row of the treatment chambers 20L, 20L, 20L irregularly houses a small to-be-treated automobile C1, a large to-be-treated automobile C2, and a medium to-be-treated automobile C3.	FIGURE DESCRIPTION
By arranged a plurality of connected treatment chambers 20A in parallel rows, high-temperature treatment can be performed on a larger number of to-be-treated automobiles, whereby processing efficiency can be increased.	INVENTION_ADVANTAGE
Note that, in the present embodiment, when five units were connected and four to-be-treated automobiles were housed therein, it was possible to raise the temperature from 35 °C to 80 °C in about 10 minutes.	EMBODIMENT
Thus, even when the treatment chamber is composed of a plurality of connected units, the total treatment duration including the temperature rise and maintenance of the heat treatment temperature (60 to 80 °C) can be shortened to about (within) 30 minutes.	INVENTION_ADVANTAGE
Furthermore, the high-temperature pest extermination device 10, in which a plurality of treatment chambers are arranged in parallel rows, preferably includes a centralized management part 70 for collectively managing the high temperature treatment by the circulation fan devices 30 of each of the treatment chambers 20L, 20L, 20L.	EMBODIMENT
Any known controller can be used as the centralized management part 70.	EMBODIMENT
The centralized management part 70 controls each corresponding circulation fan device 30 based on the vehicle interior temperature detection means 50 of each of the plurality of treatment chambers 20.	EMBODIMENT
In particular, when a treatment chamber 20A in which a plurality of units 20u are connected is included, each circulation fan device 30 is preferably controlled based on the chamber interior temperature detection means 25 and vehicle interior temperature detection means 50.	EMBODIMENT
This is because treatment at a chamber interior temperature which is managed for the treatment chamber 20A as a whole in which the units are connected, is more advantageous in terms of efficiency than managing the temperature upper limit of the high-temperature treatment for each of the plurality of to-be-treated automobiles C.	INVENTION_ADVANTAGE
Note that the centralized management part 70 may be configured to serve as the heating temperature control means 60 and heating temperature control means 60 may be additionally provided to control each high-temperature treatment based on each heating temperature control means 60.	EMBODIMENT
The centralized management part 70 makes it possible to easily assess the overall situation of the high-temperature treatment for a large number of to-be-treated automobiles C and to efficiently respond to the treatment situation.	INVENTION_ADVANTAGE
Next the automobile high-temperature pest extermination method using the high-temperature pest extermination device 10 of the present invention will be described.	EMBODIMENT
As shown in FIG. 1, the high-temperature pest extermination method includes loading a to-be-treated automobile C into the treatment chamber 20, heating the treatment chamber 20, detecting the vehicle interior temperature by the vehicle interior temperature detection means 50 mounted inside the to-be-treated automobile C, controlling the heating temperature by the heating temperature control means 60 based on the vehicle interior temperature detection means 50, and performing the high-temperature treatment on the to-be-treated automobile C at a temperature higher than a predetermined temperature, whereby pests inside the to-be-treated automobile C are exterminated.	FIGURE DESCRIPTION
An example of the high-temperature pest extermination method in which a single to-be-treated automobile C is treated in a single treatment chamber 20 will be described in detail below.	EMBODIMENT
First, a necessary number of vehicle interior temperature detection means 50 are arranged, in advance, in positions which are relatively resistant to heating, such as under the seat or within the engine compartment of the to-be-treated automobile C.	EMBODIMENT
In the example illustrated in FIG. 1, an engine compartment vehicle interior temperature detection means 50a, an under-seat vehicle interior temperature detection means 50b, and a trunk compartment vehicle interior temperature detection means 50c are arranged.	FIGURE DESCRIPTION
Furthermore, the temperature conditions and treatment duration of the high-temperature treatment by the circulation fan device 30 are set by the heating temperature control means 60.	EMBODIMENT
The conditions of the high-temperature treatment include a temperature upper limit of 75 °C, a treatment temperature of 60 °C, and a treatment duration of 10 minutes.	EMBODIMENT
After the high-temperature treatment has been set, the to-be-treated automobile C is loaded into the treatment chamber 20 by self-propulsion or by a conveyor.	EMBODIMENT
The doors, hood, trunk lid, etc., of the to-be-treated automobile C loaded into the treatment chamber 20 are opened to allow air to flow into the passenger compartment, the engine compartment, the trunk, etc.	EMBODIMENT
Subsequently, the inlet 22 of the treatment chamber 20 is closed, closing the interior of the chamber, and heating in the treatment chamber 20 by the circulation fan device 30 is started.	EMBODIMENT
The circulation fan device 30 circulates heated air in the horizontal directions of the treatment chamber 20 by the fan member 35.	EMBODIMENT
In particular, air inside the treatment chamber 20 is suctioned by the fan member 35 through the front of the circulation fan device 30, and the suctioned air is heated by the heating members 40 within the housing member 31.	EMBODIMENT
The air heated in this way is discharged as heated air into the treatment chamber 20 from the discharge parts 33 on both sides of the circulation fan device 30.	EMBODIMENT
At this time, since the discharge parts 33 are formed by opening the entirety of the sides of the circulation fan device 30, the discharged heated air circulates through the treatment chamber 20 in the horizontal directions.	EMBODIMENT
The heated air discharged from the sides of the circulation fan device 30 circulates from the third side wall part 21c side to the fourth side wall part 21d side along the side wall parts of the first side wall part 21a side and the second side wall part 21b side.	EMBODIMENT
Further, the heated air on both sides collides in the central part of the fourth side wall part 21d, circulates in the central direction of the treatment chamber 20, and is suctioned into the circulation fan device 30 by the fan member 35 of the circulation fan device 30.	EMBODIMENT
Thus, the circulation of the heated air in the horizontal directions along both the left and right side wall parts 21 within the treatment chamber 20 is repeated.	EMBODIMENT
As a result, the interior of the treatment chamber 20 can be efficiently heated.	INVENTION_ADVANTAGE
Furthermore, heated air can be effectively brought into contact with the interior and exterior of a box-type automobile having a floor plate and a roof plate.	INVENTION_ADVANTAGE
