WIND TURBINES AND METHODS	PATENT TITLE
However, this approach is not a cost-effective solution since it may include costly elements e.g. a 66 kV circuit breaker for disconnecting an auxiliary transformer from the busbar and the auxiliary transformer arranged to convert power from 66 kV as delivered from the grid to a suitable power for the electrical components.	REFERENCE_PROBLEM
SUMMARY	SECTION TITLE
In a first aspect, a wind turbine is provided.	REPHRASED CLAIM
The wind turbine comprises: a generator, one or more power converters arranged between the generator and a point of connection to a main transformer and one or more wind turbine electrical components.	REPHRASED CLAIM
The main transformer is configured to connect a bus bar to an auxiliary wind turbine transformer, and the busbar is configured to receive electrical power from an electrical grid with a main voltage.	REPHRASED CLAIM
Moreover, one or more of the wind turbine electrical components are configured to be connected to the auxiliary wind turbine transformer and a selection of the wind turbine electrical components is further configured to be connected to the busbar through a service voltage transformer when the main transformer is disconnected from the busbar.	REPHRASED CLAIM
According to this first aspect, electrical power is provided to a selection of the wind turbine electrical components using the service voltage transformer, particularly when the main transformer is disconnected from the busbar.	REPHRASED CLAIM
The electrical power consumed by the wind turbine components during normal operation is either supplied by the electrical grid (e.g. if there is no wind) or supplied by the wind turbine itself (e.g. if there is wind and the wind turbine is generating electrical power).	EMBODIMENT
In normal operation, specifically when the electrical grid provides electrical power, the main transformer and the auxiliary transformer are used for lowering a relatively high voltage supplied by the electrical grid such that a suitable electrical power is fed to the electrical components of the wind turbine.	EMBODIMENT
However, when the main transformer is disconnected from the busbar (e.g. due to maintenance), the main transformer does not receive electrical power from the electrical grid and it can thus not provide electrical power to the electrical components.	EMBODIMENT
The selected electrical components may thus be connected to the busbar such that electrical power is received by the selected electrical components, in response to the disconnection of the main transformer, via the service voltage transformer.	EMBODIMENT
In summary, particularly when the main transformer is disconnected from the grid, the service voltage transformer is used for lowering a relatively high power supplied by the electrical grid such that a suitable electrical power is fed to a selection of the electrical components of the wind turbine.	INVENTION_ADVANTAGE
In a second aspect, a method for connecting a disconnected a wind turbine main transformer to a grid is provided.	REPHRASED CLAIM
The method comprises connecting the grid to a primary winding of a service voltage transformer via a busbar to supply power to a pre-charge circuit.	REPHRASED CLAIM
The method further comprises: pre-energizing a secondary winding of the main transformer with the pre-charge circuit while a primary winding of the transformer is disconnected from the grid and connecting the primary winding of the wind turbine main transformer to the grid when a primary winding is in phase with the grid.	REPHRASED CLAIM
According to this aspect, a method for connecting the wind turbine main transformer to the grid is provided in which electrical power can be supplied to the pre-charge and pre-energizing circuit, when the main transformer has previously been disconnected from the grid.	EMBODIMENT
Therefore, when the grid is connected back to the transformer, the main transformer is pre-energized using the pre-charge circuit such that inrush currents are reduced.	INVENTION_ADVANTAGE
Accordingly, mechanical loads of the windings of the transformer may at least be reduced and further resonances and/or oscillations of the electric system formed by the wind turbine and grid may be reduced or avoided.	INVENTION_ADVANTAGE
BRIEF DESCRIPTION OF THE DRAWINGS	SECTION TITLE
Non-limiting examples of the present disclosure will be described in the following, with reference to the appended drawings, in which:	JURIDICAL TEMPLATE
Figure 1 illustrates a perspective view of one example of a wind turbine;	FIGURE DESCRIPTION
Figure 2 illustrates a simplified, internal view of one example of the nacelle of the wind turbine of the Figure 1;	FIGURE DESCRIPTION
Figure 3 schematically illustrates an example of a system for providing electrical power to one or more wind turbine components;	FIGURE DESCRIPTION
Figure 4 is an illustration of a block diagram describing an example of a method for providing electrical power to one or more wind turbine components.	FIGURE DESCRIPTION
DETAILED DESCRIPTION OF EXAMPLES	SECTION TITLE
Reference will now be made in detail to embodiments of the invention, one or more examples of which are illustrated in the drawings.	JURIDICAL TEMPLATE
Each example is provided by way of explanation of the invention, not limitation of the invention.	JURIDICAL TEMPLATE
In fact, it will be apparent to those skilled in the art that various modifications and variations can be made in the present invention without departing from the scope or spirit of the invention.	JURIDICAL TEMPLATE
For instance, features illustrated or described as part of one embodiment can be used with another embodiment to yield a still further embodiment.	JURIDICAL TEMPLATE
Thus, it is intended that the present invention covers such modifications and variations as come within the scope of the appended claims and their equivalents.	JURIDICAL TEMPLATE
In these figures the same reference signs have been used to designate matching elements.	JURIDICAL TEMPLATE
Throughout the present description and claims the term "breaker" or "circuit breaker" may be defined as device that can be operated in load and short circuit conditions.	DEFINITION
The term "load switch" may be defined as a device that can be operated with rated current.	DEFINITION
The term "no load switch" may be defined as a device that cannot be operated with load only with voltage.	DEFINITION
It is noted that all these devices may be operated remotely.	EMBODIMENT
Figure 1 illustrates a perspective view of one example of a wind turbine 160.	FIGURE DESCRIPTION
As shown, the wind turbine 160 includes a tower 170 extending from a support surface 150, a nacelle 161 mounted on the tower 170, and a rotor 115 coupled to the nacelle 161.	FIGURE DESCRIPTION
The rotor 115 includes a rotatable hub 110 and at least one rotor blade 120 coupled to and extending outwardly from the hub 110.	FIGURE DESCRIPTION
For example, in the illustrated embodiment, the rotor 115 includes three rotor blades 120.	FIGURE DESCRIPTION
However, in an alternative embodiment, the rotor 115 may include more or less than three rotor blades 120.	EMBODIMENT
Each rotor blade 120 may be spaced about the hub 110 to facilitate rotating the rotor 115 to enable kinetic energy to be transferred from the wind into usable mechanical energy, and subsequently, electrical energy.	EMBODIMENT
For instance, the hub 110 may be rotatably coupled to an electric generator 162 (Figure 2) positioned within the nacelle 161 to permit electrical energy to be produced.	FIGURE DESCRIPTION
Figure 2 illustrates a simplified, internal view of one example of the nacelle 161 of the wind turbine 160 of the Figure 1.	FIGURE DESCRIPTION
As shown, the generator 162 may be disposed within the nacelle 161.	FIGURE DESCRIPTION
In general, the generator 162 may be coupled to the rotor 115 of the wind turbine 160 for generating electrical power from the rotational energy generated by the rotor 115.	FIGURE DESCRIPTION
For example, the rotor 115 may include a main rotor shaft 163 coupled to the hub 110 for rotation therewith.	FIGURE DESCRIPTION
The generator 162 may then be coupled to the rotor shaft 163 such that rotation of the rotor shaft 163 drives the generator 162.	FIGURE DESCRIPTION
For instance, in the illustrated embodiment, the generator 162 includes a generator shaft 166 rotatably coupled to the rotor shaft 163 through a gearbox 164.	FIGURE DESCRIPTION
It should be appreciated that the rotor shaft 163, gearbox 164, and generator 162 may generally be supported within the nacelle 161 by a support frame or bedplate 165 positioned atop the wind turbine tower 170.	FIGURE DESCRIPTION
Blades 120 are coupled to the hub 110 with a pitch bearing 100 in between the blade 120 and the hub 110.	FIGURE DESCRIPTION
The pitch bearing 100 comprises an inner ring and an outer ring.	FIGURE DESCRIPTION
A wind turbine blade may be attached either at the inner bearing ring or at the outer bearing ring, whereas the hub is connected at the other.	FIGURE DESCRIPTION
A blade 120 may perform a relative rotational movement with respect to the hub 110 when a pitch system 107 is actuated.	EMBODIMENT
The inner bearing ring may therefore perform a rotational movement with respect to the outer bearing ring.	EMBODIMENT
The pitch system 107 of Figure 2 comprises a pinion 108 that mesh with an annular gear 109 provided on the inner bearing ring to set the wind turbine blade into rotation.	FIGURE DESCRIPTION
Figure 3 schematically illustrates an example of a system for providing electrical power to one or more wind turbine components.	FIGURE DESCRIPTION
Figure 3 shows a system 1 comprising an electrical grid 2 e.g. a transformer of a substation connecting an offshore wind park to a high voltage transmission line (either High Voltage DC or High Voltage AC).	FIGURE DESCRIPTION
The electrical grid 2 may be connected to a busbar 60.	FIGURE DESCRIPTION
The electrical grid 2 is configured to provide electrical power to the busbar 60 with a main voltage.	EMBODIMENT
The system 1 further comprises a wind turbine 160.	FIGURE DESCRIPTION
The wind turbine may be e.g. an offshore wind turbine.	EMBODIMENT
The wind turbine 160 comprises a converter 20 and a wind turbine generator 162.	FIGURE DESCRIPTION
In examples, the wind turbine generator is driven by a full power converter.	EMBODIMENT
The wind turbine 160 may further comprise a main transformer 5 including a primary winding 5a and a secondary winding 5b.	FIGURE DESCRIPTION
In examples, the main transformer 5 may form part of the wind turbine.	EMBODIMENT
However, in some other examples, the main transformer may be external to the wind turbine.	EMBODIMENT
The primary winding 5a of the main transformer 5 is connected to the busbar 60 and thus is arranged to receive electrical power from the electrical grid 2.	FIGURE DESCRIPTION
The secondary winding 5b of the main transformer 5 is configured to deliver electrical power to the converter 20.	FIGURE DESCRIPTION
The converter 20 may comprise a machine-side converter 12 e.g. an AC-DC converter and a grid-side converter 13 e.g. a DC-AC converter.	FIGURE DESCRIPTION
The machine-side converter 12 may be electrically connected to the generator 162.	FIGURE DESCRIPTION
Moreover, the grid-side converter 13 may be electrically coupled a point of connection of the secondary winding 5b of the main transformer 5.	FIGURE DESCRIPTION
The machine side converter 13 and the grid side converter 14 are configured for normal operating mode in a three-phase, pulse width modulation (PWM) arrangement using e.g. insulated gate bipolar transistors (IGBT) switching elements.	EMBODIMENT
Machine side converter 13 and grid side converter 14 may be coupled via a DC link 14.	FIGURE DESCRIPTION
In the wind turbine 160, electrical components may be categorized into three levels, as follows: Level 1 electrical components are those components which may be considered critical.	EMBODIMENT
These level 1 components are required to have un-interrupted operability, even during stand-by situations, i.e. when the wind turbine is disconnected from the electrical grid, and no electrical power is thus available.	EMBODIMENT
These level 1 component may for this reason be connected to an Uninterrupted Power Supply (UPS).	EMBODIMENT
Level 1 electrical components may include components related to communication, and control and manoeuver of a gas insulated switchgear (GIS).	EMBODIMENT
It may further include air conditioning systems, sensors, PLCs, beacons and protective systems among others.	EMBODIMENT
Level 2 electrical components may include those components which are less critical;	EMBODIMENT
these components may be required to operate only occasionally e.g. only during stand-by situations.	EMBODIMENT
Level 2 components may include lubrication pumps, lighting systems, inrush current protection systems, uninterruptable power supply units, sockets, the service lift, among others.	EMBODIMENT
Finally, level 3 electrical components may not be required to operate during stand-by situations but may be operated when the wind turbine is operating normally.	EMBODIMENT
Level 3 components may include e.g. lubrication pumps, cooling systems, among others.	EMBODIMENT
In this respect, an auxiliary transformer 6 is arranged that delivers electrical power to a first set of electrical components 8.	EMBODIMENT
The first set of electrical components may comprise level 3 electrical components i.e. components which are not required to be operated in situations wherein the main transformer 5 is disconnected from the busbar 60.	EMBODIMENT
The auxiliary transformer 6 may further be arranged that delivers electrical power to a second set of electrical components 9.	EMBODIMENT
The second set of electrical components may comprise level 1 electrical components i.e. components which are required to operate continuously, even when the wind turbine is disconnected from the electrical grid.	EMBODIMENT
Similarly as the main transformer, the auxiliary transformer may form part of the wind turbine.	EMBODIMENT
However, in some other examples, the auxiliary transformer may be external to the wind turbine.	EMBODIMENT
An uninterruptible power supply 42 (UPS) may be added to the second set of electrical components 9.	EMBODIMENT
In case the main transformer 5 is disconnected from the grid 2, the uninterruptable power supply associated with the second set of electrical component may continue to function for e.g. approximately 30 minutes.	EMBODIMENT
However beyond these 30 minutes, the grid will have to deliver the required power via e.g. a service voltage transformer 7 as will be explained later on.	EMBODIMENT
Following the example, the auxiliary wind turbine transformer 6 comprises a primary winding 6a and a secondary winding 6b.	EMBODIMENT
The primary winding 6a is configured to receive electrical power from the main transformer 5 and the secondary winding 6b is configured to deliver electrical power to the first set of the electrical components 8 and / or the second set of electrical components 9 (via the UPS 42).	FIGURE DESCRIPTION
A breaker 28 may be provided for disconnecting the auxiliary wind turbine transformer 6 to the main transformer 5.	EMBODIMENT
A further breaker 11 may be arranged upstream of the main transformer 5 for disconnecting the main transformer 5 from the busbar 60.	EMBODIMENT
A control signal that orders circuit breaker 11 to disconnect the main transformer from the busbar 60 may be generated at the level of a supervisory control and data acquisition system (SCADA) of a wind park and it may be sent to the circuit breaker 11.	EMBODIMENT
Additionally, the above-commented service voltage transformer 7 including a primary winding 7a and a secondary winding 7b may be provided.	EMBODIMENT
In examples, the service voltage transformer 7 may form part of the wind turbine.	EMBODIMENT
However, in some other examples, the service voltage transform may be external to the wind turbine.	EMBODIMENT
The primary winding 7a of the service voltage transformer 7 is connected to the busbar 60 and thus is arranged to receive electrical power from the electrical grid 2.	FIGURE DESCRIPTION
The secondary winding 7b of the service voltage transformer 7 is configured to deliver electrical power to the second set of electrical component 9 via the UPS 42 and a third set of electrical components 10.	EMBODIMENT
In this respect, the UPS 42 is configured to selectively receive electrical power from the secondary winding 6b of the auxiliary transformer 6 or from the secondary winding 7b of the service voltage transformer 7 depending on whether the main transformer is connected or not from the busbar as will be explained later on.	EMBODIMENT
This may be performed using a switch 23.	EMBODIMENT
The switch 23 may be configured for alternately connecting the second set of wind turbine electrical components 9 to the service voltage transformer 7 or to the auxiliary wind turbine transformer 6 via the UPS.	EMBODIMENT
The third set of electrical components may comprise Level 2 electrical components i.e. components required to operate only during situations wherein the main transformer has been disconnected from the grid.	EMBODIMENT
A switch 50 e.g. a "load switch" or a "no load switch" for disconnecting the service voltage transformer 7 from the grid 2 may also be provided.	EMBODIMENT
It is noted that the use of the proposed switch is more cost-effective than conventional alternatives e.g. a circuit breaker, which may include costly structures, particularly when the electrical power provided by the grid may be at the most at 66 kV and for relatively small substation.	INVENTION_ADVANTAGE
In this respect, the provision of a circuit breaker may be economical only above 66 kV which is not the current case.	REFERENCE
Moreover, the replacement of such conventional circuit breaker may be relatively time-consuming.	REFERENCE_PROBLEM
In some examples wherein the electrical power provided by the electrical grid is 33 kV, a fuse may be provided for disconnecting the service voltage transformer 7 from the grid 2, which is an even more cost-effective solution.	INVENTION_ADVANTAGE
Additionally, switches 16, 17, 18 e.g. "load switches" or "no load switches" may be arranged for the first set, the second set and the third set of electrical components.	EMBODIMENT
The corresponding switch may be opened in case the main transformer is disconnected from the busbar or connected to the busbar, and only selectively closed so that only power is delivered to those components, using either the main transformer or the service voltage transformer, when needed.	EMBODIMENT
The third set of electrical components 10 may include an inrush current protection device e.g. a pre-charge circuit 90.	FIGURE DESCRIPTION
A problem with the inrush currents is that when the grid comes back after a grid loss, the transformer of the wind turbine may be suddenly energized.	REFERENCE_PROBLEM
This may result in a very high inrush current peak.	REFERENCE_PROBLEM
Accordingly, the main transformer may be disconnected from the grid due to an unwanted protection relay tripping.	REFERENCE_PROBLEM
Furthermore, the inrush current peak may lead to resonances and/or oscillations in the power distribution system and/or to high mechanical loading of the transformer windings which may result in reduced transformer lifetime.	REFERENCE_PROBLEM
A solution for these drawbacks may be the provision of the above-commented pre-charge-circuit 90 which can be powered even if the main transformer (and the wind turbine generator) is offline.	INVENTION_ADVANTAGE
The pre-charge circuit 90 may be electrically connected to the DC-link 14 (and thus the converter 20).	FIGURE DESCRIPTION
The pre-charge circuit 10 may thus further be indirectly connected to the secondary winding 5b of the main transformer 5 via the converter 20, particularly via the inverter 13 forming part of the converter 20.	EMBODIMENT
The pre-charge circuit 90 is configured to charge the converter and the secondary winding 5b of the transformer 5, respectively, when the main transformer 5 is disconnected from the grid 2.	EMBODIMENT
Accordingly, the pre-charge circuit through the DC-link may pre-magnetize / pre-energize the secondary winding of the main transformer 5 prior the main transformer is connected back to the grid e.g. via the breaker 11 after a disconnection of the main transformer from the grid.	EMBODIMENT
It is noted that throughout the present description and claims the term "pre-magnetize" and the term "pre-energize" may be used interchangeably.	DEFINITION
These terms refer to the pre-magnetization / pre-energization of the wind turbine transformer via a pre-charged DC-link forming part of a wind turbine converter.	DEFINITION
In doing so, inrush currents may be avoided or at least reduced when the primary winding 5a of the transformer 5 is connected to the grid 2.	INVENTION_ADVANTAGE
Accordingly, mechanical loads of the windings of transformer may at least be reduced and further resonances and/or oscillations of the electric system formed by wind turbine 160 and external grid 2 may be reduced or substantially avoided.	INVENTION_ADVANTAGE
After pre-magnetizing the secondary winding 5b of the transformer 5 using the pre-charge circuit 90, the pre-charge circuit 90 may send a signal to the circuit breaker 11 to connect the grid 2 and the primary winding of the transformer 5.	EMBODIMENT
For this purpose at least one signal line (not shown), for example a TTL-line or a LAN-cable, is arranged between the pre-charge circuit 90 and the breaker 11.	EMBODIMENT
It is noted that the signal may be sent to the circuit breaker when the primary winding of the transformer is substantially in phase with the grid as will be described later on.	EMBODIMENT
The pre-charge circuit 90 may also be connected via at least one signal line with a turbine controller to exchange information.	EMBODIMENT
For example, the turbine controller may issue the command to close the breaker 11 via the pre-charge circuit 10.	EMBODIMENT
Accordingly, a SCADA system connected with or running on turbine controller may switch several wind turbines after each other back to the grid formed by a wind park grid.	EMBODIMENT
Accordingly, inrush currents may be even further reduced.	INVENTION_ADVANTAGE
The pre-charge circuit 90 may include an energy buffer, for example a capacitor, to provide in a comparatively short time of about several milliseconds to about several seconds enough electrical energy to charge the wind turbine transformer 5 via the inverter 13 of the converter as hereinbefore described.	EMBODIMENT
In any event, the secondary winding of the transformer 5b is magnetized with the energy buffered in the pre-charge circuit while the primary winding of the main transformer remains disconnected from the grid.	EMBODIMENT
This may be performed such that the primary winding of the transformer 5 is in defined phase relation, for example substantially in phase with the grid 2.	EMBODIMENT
Due to magnetizing the transformer prior to connecting primary winding of the transformer 5 back to the grid 2 and also considering that the breaker is closed when the primary winding of the transformer is substantially in phase with the grid, inrush currents are avoided or at least substantially reduced.	INVENTION_ADVANTAGE
The life time of the transformer 5 may be increased.	INVENTION_ADVANTAGE
Furthermore, oscillations and/or resonances of current and/or voltage of the transformer-grid system may be avoided.	INVENTION_ADVANTAGE
In accordance with an aspect, electrical power may be supplied to one or more wind turbine electrical components substantially as follows: In normal operation i.e. when the grid supplies electrical power, the electrical grid may be connected to the primary winding 5a of the main transformer 5.	EMBODIMENT
The main transformer 5 may thus convert power from 66 kV as delivered from the grid to a voltage level of the secondary winding of the main transformer, e.g. 3. 3 kV.	EMBODIMENT
A control signal that orders the switch 23 to connect the UPS 42 and the second set of electrical components 9 to the auxiliary transformer 6 may be generated at the level of a supervisory control and data acquisition system (SCADA) of a wind park and it may be sent to the switch 23.	EMBODIMENT
The auxiliary wind turbine transformer 6 will further transform the power from the voltage level of the secondary winding of the main transformer to the voltage level required by the first set of electrical components 8 and the second set of electrical components of the wind turbine 9 via the uninterruptible power supply 42.	EMBODIMENT
This voltage level may be 0. 4 kV.	EMBODIMENT
It is thus clear that, in the above-commented normal operation, the first set of electrical components 8 and the second set of electrical components 9 may be connected to the grid via the main transformer 5 and the auxiliary transformer 6 and they may suitably be fed using such transformers.	EMBODIMENT
It is noted that, in normal operation, electrical power is not supplied to the third set of electrical component e.g. the pre-charge circuit 10.	EMBODIMENT
The reasoning is that the main transformer is connected to the grid.	EMBODIMENT
Therefore, no high inrush current peak may occur by connecting the transformer to the grid and thus the pre-charge circuit is not necessary at this stage.	EMBODIMENT
However, when the main transformer 5 is disconnected from the grid 2 using e.g. the circuit breaker 11, the electrical grid may be connected to the primary winding 7a of the service voltage transformer 7 via e.g. the switch 50.	EMBODIMENT
A control signal that orders the switch 23 to connect the second set of electrical components 9 to the service voltage transformer 7 due to the disconnection of the main transformer 5 from the grid 2 may be generated at the level of a supervisory control and data acquisition system (SCADA) of a wind park and it may be sent to the switch 23.	EMBODIMENT
In some examples, the disconnection of the main transformer 5 from the grid 2 may also be detected locally, e.g. through a sustained absence of electrical power in the primary winding of the main transformer.	EMBODIMENT
In any event, the switch 23 may be activated such that the second set of electrical components is connected to the service voltage transformer 7.	EMBODIMENT
The service voltage transformer 7 may thus convert power from 66 kV as delivered from the grid to the voltage level required by the second set of electrical components 8 and the third set of electrical components of the wind turbine 9.	EMBODIMENT
This voltage level may be 0. 4 kV.	EMBODIMENT
As illustrated here, regardless of whether the power is delivered by the grid via the main transformer and the auxiliary transformer or via the service voltage transformer, power is supplied to the second set of electrical component i.e. electrical components which always need power supply and the interruption of the operation cannot be accepted.	FIGURE DESCRIPTION
Additionally, in case the main transformer 5 is disconnected from the grid 2 and the busbar 60, power is supplied to the pre-charge circuit 90.	EMBODIMENT
As a result, the transformer 5 may be energized via the converter 20 in a substantially similar manner as hereinbefore described.	EMBODIMENT
In case the main transformer 5 is connected back to the grid, an inrush current may almost or even completely be avoided.	EMBODIMENT
Figure 4 is an illustration of a block diagram describing an example of a method for connecting a disconnected wind turbine main transformer to a grid.	FIGURE DESCRIPTION
A system for providing electrical power to one or more wind turbine components as hereinbefore described may be provided, in particular to provide electrical power to a pre-charge circuit.	EMBODIMENT
At block 400, primary winding of a service voltage transformer may be connected to the grid via a busbar to supply power to a pre-charge circuit.	EMBODIMENT
The service voltage transformer may thus convert power from 66 kV as delivered from the grid to the voltage level required by the pre-charge circuit.	EMBODIMENT
This voltage level may be 0. 4 kV. In any case, energy is buffered in such pre-charge circuit.	EMBODIMENT
At block 401, a secondary winding of the transformer is pre-energized with the pre-charge circuit while a primary winding of the transformer is disconnected from the grid.	EMBODIMENT
This is typically done such that the primary winding of the transformer is in defined phase relation, for example substantially in phase with the grid.	EMBODIMENT
In some examples, a voltage of the secondary winding of the transformer may be ramped up to a predefined value, for example up to a rated voltage of the generator or close to the rated voltage of the generator.	EMBODIMENT
At block 402, the primary winding of the transformer and the grid are connected when the primary winding of the transformer is substantially in phase with the grid.	EMBODIMENT
Due to pre-energizing the transformer prior to connecting its primary winding back to the grid, inrush currents are avoided or at least substantially reduced.	INVENTION_ADVANTAGE
Accordingly, life time of the transformer may be increased.	INVENTION_ADVANTAGE
Furthermore, oscillations and/or resonances of current and/or voltage of the transformer-grid system may be avoided.	INVENTION_ADVANTAGE
In a first aspect, a wind turbine is provided.	REPHRASED CLAIM
The wind turbine comprises: a generator, one or more power converters arranged between the generator and a point of connection to a main transformer.	REPHRASED CLAIM
The wind turbine further comprises one or more wind turbine electrical components, wherein the main transformer is configured to connect a bus bar to an auxiliary wind turbine transformer, wherein the busbar is configured to receive electrical power from an electrical grid with a main voltage.	REPHRASED CLAIM
Moreover, one or more of the wind turbine electrical components are configured to be connected to the auxiliary wind turbine transformer and a selection of the wind turbine electrical components is further configured to be connected to the busbar through a service voltage transformer when the main transformer is disconnected from the busbar.	REPHRASED CLAIM
In further examples, the auxiliary wind turbine transformer may be configured to connect the main transformer to a first set of wind turbine electrical components.	REPHRASED CLAIM
Additionally, the service voltage transformer may be configured to connect the busbar to a second set of wind turbine electrical components.	REPHRASED CLAIM
The auxiliary wind turbine transformer and the service voltage transformer may be both configured to connect to the second set of wind turbine electrical components.	REPHRASED CLAIM
In examples, the service voltage transformer is configured to connect the busbar to a third set of electrical components.	REPHRASED CLAIM
This third set of electrical components may include a pre-charge circuit to pre-charge a DC-bus of the converters.	REPHRASED CLAIM
n some examples, the wind turbine electrical components are divided into two or more different levels, wherein the first level is defined for electrical components requiring substantially permanent operability, wherein the first level of electrical components includes the second set of wind turbine electrical components.	REPHRASED CLAIM
In examples a second level of electrical components may be defined for electrical components that substantially only require operability when the main transformer is disconnected from the busbar, wherein the second level includes the third set of electrical components.	REPHRASED CLAIM
A third level is further defined for electrical components that do not require operability when the main transformer is disconnected from the busbar, wherein the third level includes the first set of electrical components.	REPHRASED CLAIM
In example, a system is provided.	REPHRASED CLAIM
The system comprising a busbar, an electrical grid for providing electrical power to the busbar with a main voltage, a wind turbine as hereinbefore described, a main transformer for connecting the wind turbine to the busbar, an auxiliary wind turbine transformer for connecting the main transformer to one or more of the wind turbine electrical components.	REPHRASED CLAIM
The system further comprising: a service voltage transformer for connecting the busbar to the selection of the wind turbine electrical components when the main transformer is disconnected from the busbar.	REPHRASED CLAIM
In examples, the system further comprises a circuit breaker for disconnecting the main transformer to the busbar.	REPHRASED CLAIM
In some examples, the service voltage transformer forms part of the wind turbine.	REPHRASED CLAIM
In examples, the main transformer comprises a primary winding and a secondary winding, wherein the primary winding is configured to receive electrical power from the busbar and the secondary winding is configured to deliver electrical power to the converters, wherein the auxiliary wind turbine transformer comprises a primary winding and a secondary winding, wherein the primary winding is configured to receive electrical power from the main transformer and the secondary winding is configured to deliver electrical power to a first set of electrical components.	REPHRASED CLAIM
In further examples, the service voltage transformer comprises a primary winding and a secondary winding, wherein the primary winding is configured to receive electrical power from the busbar and the secondary winding is configured to deliver electrical power to a second set of electrical components.	REPHRASED CLAIM
In some other examples, the system comprises an uninterruptable power supply, wherein the uninterruptable power supply is configured to selectively receive electrical power from the auxiliary transformer or from the service voltage transformer.	REPHRASED CLAIM
In some other examples, the system further comprises a switch or a fuse for disconnecting the service voltage transformer from the grid.	EMBODIMENT
In examples, the second set of wind turbine electrical components is configured to be alternatively connected to the service voltage transformer or to the auxiliary wind turbine transformer using a switch.	EMBODIMENT
n a further aspect, a method for connecting a disconnected a wind turbine main transformer to a grid is provided.	REPHRASED CLAIM
