ENZYMATIC PROCESS FOR THE PREPARATION OF DROXIDOPA	PATENT TITLE
According to the preferred embodiment, in the compounds of formula (II) and (III) the R3 is ethyl and R4 is terbutylcarbamate.	REPHRASED CLAIM
It has indeed surprisingly found that it is possible to carry out the enzymatic reduction of the keto group and the simultaneously generation a stereocenter on the side carbon, by an ketoreductase enzymes (abbreviate KRED).	EMBODIMENT
The enzyme further to the enantioselective reduction, indeed, and surprisingly, induce the enantioselection on the adjacent carbon bonding the amino group.	EMBODIMENT
In one embodiment. of the invention, the compound of formula (II) is preferably reduced to a compound of formula (III) using a chiral reducing agent, such as a reducing enzyme, preferably a ketoreductase (KRED) or a carbonyl reductase.	EMBODIMENT
Preferably, the chiral reducing agent is a KRED.	EMBODIMENT
KRED enzymes belonging to class EC 1.1.1.184 are useful for the synthesis of optically active alcohols from the corresponding pro-stereoisomerism ketone substrates and by stereospecific reduction of corresponding racemic ketone substrates.	EMBODIMENT
KRED enzymes typically convert a ketone substrate to the corresponding alcohol product, but may also catalyse the reverse reaction, oxidation of an alcohol substrate to the corresponding ketone product.	EMBODIMENT
The reduction of ketones and the oxidation of alcohols by enzymes such as KRED typically require a cofactor.	EMBODIMENT
Typically, the reduction step is carried out by reacting compound of formula (II) with ketoreductase enzyme in the presence of cofactor for the ketoreduction and optionally a cofactor regenerating system.	EMBODIMENT
Ketoreductase enzymes are commercially available, for example, from Codexis, Inc (USA).	EMBODIMENT
The KRED can be found in a wide range of bacteria and yeast, for reviews: Kraus and Waldman, Enzyme' catalysis in organic synthesis, Vols. 1 and 2.VCH Weinheim 1995; Faber, K., Biotransformations in organic chemistry, 4th Ed. Springer, Berlin	REFERENCE
Heidelberg New York. 2000; Hummel and Kuia, 1989, Eur. J. Biochem. 184: 1-13. Several KRED gene and enzyme sequences have been reported, e.g., Candida magnoliae (Genbank Ace. No. JC7338; GL 1 1360538) Candida parapsilosis (Genbank Ace. No. BAA24528. I; GI:2815409), Sporobolomyces salmonicolor (Genbank Ace. No. AF160799;GL653973.	REFERENCE
The KRED can be a wild type or a variant enzyme.	REFERENCE
Sequences of wild type and variant KRED enzymes are provided in WO2005/017135, incorporated herein by reference.	REFERENCE
KRED enzymes are commercially available.	REFERENCE
Examples of these include but are not limited to KRED-101, KRED-119, KRED-130, KRED-NADH-101, KRED.NAbff:.110, KRED-PI-A04, KRED-PI-B02, KRED-PI-BOS, KRED-PI-B05, KRED-PI-B10, KRED-PI-B12, KRED-PI-COI, KRED-PI-H08, KRED-PI-HIO, KRED-P2-B02, KRED-P2-C02, KRED-P2-Cl 1, KRED-P2-D03, KRED-P2-DI 1, KRED-P2-D12, KRED-P2-G03, KRED-P2-H07, KRED-P3-B03, KRED-P3-G09, KRED-P3-H12 and combinations thereof. Most preferably the enzyme is KRED 130.	TECHNICAL TEMPLATE
In the one preferred embodiment the KRED is KRED®130.	REPHRASED CLAIM
According to the preferred embodiment, the enzymatic reduction of the present invention can be carried out by the ketoreductase KRED® 130 and in the compound of formula (II) R3 is ethyl and R4 is terbutilcarbamate.	REPHRASED CLAIM
Preferably, the ketoreductase is isolated.	EMBODIMENT
The ketoreductase can be separated from any host, such as mammals, filamentous fungi, yeasts, and bacteria.	EMBODIMENT
The isolation, purification, and characterization of a NADH-dependent ketoreductase is described in, for example, in Kosjek et al., Purification and Characterization of a Chemotolerant Alcohol Dehydrogenase Applicable to Coupled Redox Reactions,. Biotechnology and Bioengineering, 86:55-62 (2004).	REFERENCE
Preferably, the ketoreductase is synthesized.	EMBODIMENT
The ketoreductase can be synthesized chemically or using recombinant means.	EMBODIMENT
The chemical and recombinant production of ketoreductases is described in, for example, in EP0918090(A2).	REFERENCE
Preferably, the ketoreductase is synthesized using recombinant means in Escherichia coli.	EMBODIMENT
Preferably, the ketoreductase is purified, preferably with a purity of about 90% or more, more preferably with a purity of about 95% or more.	EMBODIMENT
Preferably, the ketoreductase is substantially cell-free.	EMBODIMENT
As used herein, the term "cofactor" refers to a non-protein compound that operates in combination with a ketoredutase enzyme.	DEFINITION
Cofactors suitable for use with ketoreductase enzymes include, but are not limited to nicotinamide adenine dinucleotide phosphate (NADP+), reduced nicotinamide adenine dinucleotide phosphate (NADPH), nicotinamide adenine dinucleotide (NAD+) and reduced nicotinamide adenine dinucleotide (NADH).	TECHNICAL TEMPLATE
Generally the reduced form of the cofactor is added to the reaction mixture.	EMBODIMENT
KRED enzymes often can use either the phosphorylated or the non-phosphorylated cofactor.	EMBODIMENT
KRED enzymes can be used in place of chemical procedures for the conversion of different keto compounds to chiral alcohol products.	EMBODIMENT
These biocatalytic conversions can employ whole cells expressing the ketoreductase for biocatalytic ketone reductions, or purified enzymes, particularly in those instances where presence of multiple ketoreductases in whole cells would adversely affect the enantiomeric purity and yield of the desired product.	EMBODIMENT
For in vitro applications, a cofactor (NADH or NADPH) regenerating enzyme such as glucose dehydrogenase (GDH) and formate dehydrogenase typically is used in conjunction with the ketoreductase.	EMBODIMENT
Examples illustrating the use of naturally occurring or engineered KRED enzymes in biocatalytic processes to generate useful chemical compounds include asymmetric reduction of 4-chloroacetoacetate esters (Zhou, J. Am. Chem. Soc. 1983 105:5925-5926; Santaniello, J. Chem. Res. (S) 1984:132-133; U.S. Patent No. 5,559,030; U.S. Patent No. 5,700,670 and U.S. Patent No. 5,891,685), reduction of dioxocarboxylic acids (e.g., U.S. Patent No. 6,399,339), reduction of tert-butyl (S)-chloro-5-hydroxy-3-oxohexanoate (e.g., U.S. Patent No. 6,645,746 and WO 01/40450), reduction pyrrolotriazine-based compounds (e.g., U.S. application No. 2006/0286646);	REFERENCE
reduction of substituted acetophenones (e.g., U.S. Patent No. 6,800,477);	REFERENCE
and reduction of ketothiolanes (WO 2005/054491).	REFERENCE
Several KRED gene and enzyme sequences have been reported, including: Candida magnoliae (Genbank Ace. No. JC7338; GI: 11360538);	REFERENCE
Candida parapsilosis (Genbank Ace. No. BAA24528.1; GI:2815409), Sporobolomyces salmonicolor (Genbank Ace. No. AF160799; GI:6539734);	REFERENCE
Lactobacillus kefir (Genbank Ace. No. AAP94029.1; GI: 33112056);	REFERENCE
Lactobacillus brevis (Genbank Ace. No. 1NXQ_A; GI: 30749782);	REFERENCE
Exiguobacterium acetylicum (Genbank Ace. No. BAD32703.1) and Thermoanaerobium brockii (Genbank Ace. No. P14941; GI: 1771790).	REFERENCE
The KRED catalyzed reduction of compound (II) to compound (III) requires that an electron donor is present in the solution.	EMBODIMENT
Generally, a cofactor is used as the electron donor in the KRED reduction reaction.	EMBODIMENT
The cofactor operates in combination with the KRED and/or glucose dehydrogenase (abbreviate GDH) in the process.	EMBODIMENT
Suitable cofactors include, but are not limited to, NADP+ (nicotinamide adenine dinucleotide phosphate), NADPH (the reduced form of NADP+), NAD+ (nicotinamide adenine dinucleotide) and NADH (the reduced form of NAD+).	TECHNICAL TEMPLATE
Generally, the reduced form of the cofactor is added to the reaction mixture.	EMBODIMENT
Accordingly, the methods of the present disclosure are carried out wherein an electron donor is present selected from NADPH cofactor or NADH cofactor.	EMBODIMENT
In certain embodiments, the method can be carried out wherein the reaction conditions comprise an NADH or NADPH cofactor concentration of about 0.03-0.5 g/L, about 0.05-0.3 g/L, about 0.1-0.2 g/L, about 0.5 g/L, about 0.1 g/L, or about 0.2 g/L.	EMBODIMENT
In some embodiments of the process, a cofactor recycling system is used to regenerate cofactor NADPH/NADH form NADP+/NAD+ produced in the reaction.	EMBODIMENT
A cofactor recycling system refers to a set of reactants that reduce the oxidized form of the cofactor (e.g., NADP+ to NADPH) thereby allowing the KRED catalysis to continue.	DEFINITION
The cofactor recycling system may further comprise a secondary substrate and catalyst, for example, the substrate glucose, and the enzyme GDH, that catalyses the reduction of the oxidized form of the cofactor by the reductant.	EMBODIMENT
Cofactor recycling systems to regenerate NADH or NADPH from NAD+ or NADP+, respectively, are known in the art and may be used in the methods described herein.	EMBODIMENT
Suitable exemplary cofactor recycling systems that may be employed include, but are not limited to, glucose and glucose dehydrogenase (GDH), formate and formate dehydrogenase (FDH), glucose-6-phosphate and glucose-6-phosphate dehydrogenase, a secondary alcohol and secondaralcohol dehydrogenase, phosphite and phosphite dehydrogenase, molecular hydrogen and hydrogenase, and the like.	TECHNICAL TEMPLATE
Suitable secondary alcohols include lower secondary alcohols and aryl-alkyl carbinols.	EMBODIMENT
Examples of lower secondary alcohols include isopropanol, 2-butanol, 3-methyl-2- butanol, 2-pentanol, 3-pentanol, 3,3-dimethyl-2-butanol, and the like.	TECHNICAL TEMPLATE
In a particularly preferred embodiment the secondary alcohol is isopropyl alcohol (IPA).	EMBODIMENT
Suitable aryl-akyl carbinols include unsubstituted and substituted 1-arylethanols.	TECHNICAL TEMPLATE
These systems may be used in combination with either NADP+/NADPH or NAD+/NADH as the cofactor.	EMBODIMENT
Electrochemical regeneration using hydrogenase may also be used as a cofactor regeneration system.	EMBODIMENT
See, e.g., U.S. Pat. Nos. 5,538,867 and 6,495,023, both of which are incorporated herein by reference.	REFERENCE
Chemical cofactor regeneration systems comprising a metal catalyst and a reducing agent (for example, molecular hydrogen or formate), may also be used in combination with either NADP+ /NADPH or NAD+ / NADH as the cofactor.	EMBODIMENT
See, e.g., PCT publication WO 2000/053731, which is incorporated herein by reference.	REFERENCE
In some embodiments of the present disclosure, the cofactor recycling system can comprise glucose dehydrogenase (GDH), which is an NAD+ or NADP+-dependent enzyme that catalyses the conversion of D-glucose (dextrose) and NAD+ or NADP+ to gluconic acid and NADH or NADPH, respectively.	EMBODIMENT
GDH enzymes suitable for use in the practice of the processes described herein include both naturally occurring GDHs, as well as non-naturally occurring GDHs.	EMBODIMENT
Naturally occurring glucose dehydrogenase encoding genes have been reported in the literature, e.g., the Bacillus subtilis 61297 GDH gene, B. cereus ATCC 14579 and B. megaterium.	REFERENCE
Non-naturally occurring GDHs generated using, for example, mutagenesis, directed evolution, and the like and are provided in PCT publication WO 2005/018579, and US publication Nos. 2005/0095619 and 2005/0153417.	REFERENCE
In some embodiments, the cofactor recycling system can comprise a formate dehydrogenase (FDH), which is an NAD+ or NADP+-dependent enzyme that catalyses the conversion of formate and NAD+ or NADP+ to carbon dioxide and NADH or NADPH, respectively.	EMBODIMENT
As used herein, the term "formate" refers to formate anion (HCOO-), formic acid (HCOOH) and mixtures thereof.	DEFINITION
FDHs suitable for use as cofactor regenerating systems in the KRED catalysed reaction described herein include naturally occurring and non-naturally occurring formate dehydrogenases.	EMBODIMENT
Suitable formate dehydrogenases are described in PCT publication WO 2005/018579.	REFERENCE
Formate may be provided in the form of a salt, typically an alkali or ammonium salt (for example, HCO2Na, KHCO2, NH4HCO2, and the like), in the form of formic acid, typically aqueous formic acid, or mixtures thereof.	EMBODIMENT
A base or buffer may be used to provide the desired pH.	EMBODIMENT
In some embodiments, the cofactor regenerating system can comprise the same KRED enzyme that catalyses the reduction of compound (II) to compound (III).	EMBODIMENT
In such an embodiment, the same KRED catalysing the reduction of compound (II) to compound (III) also catalyses the oxidation of a secondary alcohol (e.g., isopropanol to acetone oxidation) and thereby simultaneously reduces the NAD+ or NADP+ to NADH or NADPH.	EMBODIMENT
Accordingly, in some embodiments, the KRED catalysed conversion of compound (II) to compound (III) can be carried out in the presence of a secondary alcohol (e.g., IPA) and without any coenzyme (e.g., GDH) present in the solution for the recycling of the NADPH or NADH cofactor.	EMBODIMENT
In such embodiments, the suitable reaction conditions can comprise an IPA concentration is about 55-75% (v/v), an NADPH or NADH cofactor loading of about 0.03-0.5 g/L, and wherein no cofactor recycling enzyme is present other than the KRED itself.	EMBODIMENT
In one embodiment, a KRED enzyme coupled with a cofactor recycling system and an NADPH cofactor is used to reduce (II) to obtain compound (III).	EMBODIMENT
Suitable reaction conditions for the KRED-catalyzed reduction of (II) to compound (III) are provided below and in the examples.	EMBODIMENT
The enzymatic reduction step is carried out in a aqueous solvent.	EMBODIMENT
The enzymatic reduction step is preferably carried out in a aqueous solvent and a co-solvent.	EMBODIMENT
The co-solvent assists in enhancing solubility of compounds having poor water solubility, thereby increasing overall rate of the reaction.	INVENTION_ADVANTAGE
Suitable cosolvents include organic solvents, for example methanol, IPA, 1-octanol, ethyl acetate, methyl acetate, butyl acetate, heptane, octane, methyl t-butyl ether (MTBE), dimethyl sulfoxide (DMSO), tetrahydrofuran (THF), 2-methyltertahydrofuran (Me-THF), toluene and the like (including mixtures thereof), and ionic liquids, for example 1-ethyl-4-methylimidazolium tetra fluoroborate, 1-butyl-3-methylimidazolium tetrafluoroborate, 1-butyl-3-methylimidazolium hexafluorophosphate, and the like.	TECHNICAL TEMPLATE
In some embodiments, aqueous solvents, including water and aqueous co-solvent systems, may be used.	EMBODIMENT
The ratio of water to organic solvent in the co-solvent system is typically in the range of from about 90:10 to about 95:05 (v/v) water to organic solvent.	EMBODIMENT
Preferably the solvent does not exceed 5% of the total volume of the reaction solution.	EMBODIMENT
The aqueous solvent (water or aqueous co-solvent system) may be pH-buffered or unbuffered.	EMBODIMENT
Generally, the reduction can be carried out at a pH of about 10 or below, usually in the range of from about 5 to about 10.	EMBODIMENT
In some embodiments, the reduction is carried out at a pH of about 9 or below, usually in the range of from about 5 to about 9.	EMBODIMENT
In some embodiments, the reduction is carried out at a pH of about 8 or below, often in the range of from about 5 to about 8, and usually in the range of from about 6 to about 8.	EMBODIMENT
The reduction may also be carried out at a pH of about 7.8 or below or 7.5 or below.	EMBODIMENT
In a preferred embodiment, the reduction is carried out at neutral pH, i.e. about 7.	EMBODIMENT
During the course of the reduction reactions, the pH of the reaction mixture may change.	EMBODIMENT
The pH of the reaction mixture may be maintained at a desired pH or within a desired pH range by the addition of an acid or a base during the course of the reaction.	EMBODIMENT
Alternatively, the pH may be controlled by using an aqueous solvent that comprises a buffer.	EMBODIMENT
Suitable buffers to maintain desired pH ranges are known in the art and include, for example, phosphate buffer, triethanolamine buffer, and the like.	EMBODIMENT
Combinations of buffering and acid or base addition may also be used.	EMBODIMENT
According to a preferred embodiment, the process of the present invention, can be carried out in presence of phosphate buffer at pH 7.	EMBODIMENT
Other buffer solution that could be used to carry out the above mentioned reaction, such as is, for instance, Tris(hydroxymethyl)aminomethane hydrochloride buffer.	EMBODIMENT
Suitable bases for neutralization are organic bases, for example amines, alkoxides and the like, and inorganic bases;	TECHNICAL TEMPLATE
for example, hydroxide salts (e.g., NaOH), bicarbonate salts (e.g. NaHCO3), carbonate salts (e.g. K2CO3), basic phosphate salts (e.g. K2HPO4, Na3PO4), and the like.	TECHNICAL TEMPLATE
Suitable acids to add during the course of the reaction to maintain the pH include organic acids, for example carboxylic acids, sulfonic acids, phosphoric acids, and the like, mineral acids, for example hydrohalic acids (such as hydrochloric acid), sulphuric acid, phosphoric acid, and the like, acidic salts, for example dihydrogen phosphate salts (e.g., KH2PO4), bisulphate salts (e.g., NaHSO4) and the like.	TECHNICAL TEMPLATE
Some embodiments utilize formic acid, whereby both the formate concentration and the pH of the solution are maintained.	EMBODIMENT
The reduction step is typically carried out at a temperature in the range of from about 0°C to about 75°C.	EMBODIMENT
Preferably, the reduction step is carried out at a temperature in the range of from about 10°C to about 55°C.	EMBODIMENT
In still other embodiments, it is carried out at a temperature in the range of from about 20°C to about 45°C.	EMBODIMENT
In a particularly preferred embodiment the reaction is carried out under ambient conditions.	EMBODIMENT
The step B) of the process according to the invention can be comprising a step b-1) of conversion of R1 and/or R2 from acetyl to hydrogen.	REPHRASED CLAIM
In an alternative embodiments, the step B) of the process according to the invention can be comprising the step b-1) of conversion of R1 and R2 from methyl or benzyl or a C1-C4 alkyl groups joined to form a cycle in to hydrogen.	EMBODIMENT
The step B) of the process according to the invention can be comprising the step b-1a) of conversion of R1 from acetyl, methyl, benzyl, a C1-C4 alkyl groups joined to form a cycle to hydrogen;	EMBODIMENT
i.e. to obtain the compound of formula (IV):	EMBODIMENT
The step B) of the process according to the invention can be comprising the step b-1b) of conversion of R2 from acetyl, methyl, benzyl, a C1-C4 alkyl groups joined to form a cycle to hydrogen;	EMBODIMENT
i.e. to obtain the compound of formula (V):	EMBODIMENT
The step B) of the process according to the invention can be comprising the step b-1) of simultaneous conversion of R1 and R2 from acetyl, methyl, benzyl, a C1-C4 alkyl groups joined to form a cycle to hydrogen;	EMBODIMENT
i.e. to obtain the compound of formula (VI):	EMBODIMENT
