COMPACT HEAD-MOUNTED DISPLAY SYSTEM HAVING UNIFORM IMAGE	PATENT TITLE
Fig. 12 is yet another schematic sectional-view of a reflective surface with two different impinging rays, according to the present invention, wherein the two rays are coupled into the LOE remotely located and coupled-out of the LOE adjacent to each other;	FIGURE DESCRIPTION
Figs. 13A and 13B are schematic sectional-views of a beam splitting surface embedded inside a light-guide optical element;	FIGURE DESCRIPTION
Fig. 14 is a graph illustrating reflectance curves of a beam splitting surface as a function of incident angles, for an exemplary angular sensitive coating for s-polarized light-waves;	FIGURE DESCRIPTION
Fig. 15 is a further graph illustrating reflectance curves of a beam splitting surface as a function of incident angles, for an exemplary angular sensitive coating for s-polarized light-waves;	FIGURE DESCRIPTION
Fig. 16 is a schematic sectional-view of two different beam splitting surfaces embedded inside a light-guide optical element;	FIGURE DESCRIPTION
Fig. 17 is another schematic sectional-view of a beam splitting surface embedded inside a light-guide optical element wherein partially reflecting surfaces are fabricated inside the transparent attached plate, andFigs. 18A and 18B are yet further schematic sectional-views of embodiments of a beam-splitting surface embedded inside a light-guide optical element wherein the coupling in, as well as the coupling-out elements are diffractive optical elements.	FIGURE DESCRIPTION
Detailed Description of Embodiments	SECTION TITLE
Fig. 1 illustrates a sectional view of a light-guide optical element (LOE), according to the present invention.	FIGURE DESCRIPTION
The first reflecting surface 16 is illuminated by a collimated display 18 emanating from a light source (not shown) located behind the device.	FIGURE DESCRIPTION
The reflecting surface 16 reflects the incident light from the source such that the light is trapped inside a planar substrate 20 by total internal reflection.	FIGURE DESCRIPTION
After several reflections off the surfaces 26, 27 of the substrate, the trapped light waves reach an array of partially reflecting surfaces 22, which couple the light out of the substrate into the eye 24, having a pupil 25, of a viewer.	FIGURE DESCRIPTION
Herein, the input surface of the LOE will be defined as the surface through which the input light waves enter the LOE and the output surface of the LOE will be defined as the surface through which the trapped light waves exit the LOE.	DEFINITION
In addition, the input aperture of the LOE will be referred to as the part of the input surface through which the input light waves actually pass while entering the LOE, and the output aperture of the LOE will be referred to as a part of the output surface through which the output light waves actually pass while exiting the LOE.	DEFINITION
In the case of the LOE illustrated in Fig. 1, both of the input and the output surfaces coincide with the lower surface 26, however, other configurations are envisioned in which the input and the image light waves could be located on opposite sides of the substrate, or on one of the edges of the LOE.	FIGURE DESCRIPTION
Assuming that the central light wave of the source is coupled out of the substrate 20 in a direction normal to the substrate surface 26, the partially reflecting surfaces 22 are flat, and the off-axis angle of the coupled light wave inside the substrate 20 is αin, then the angle αsur2 between the reflecting surfaces and the normal to the substrate plane is: αsur2=αin2	FIGURE DESCRIPTION
As can be seen in Fig. 1, the trapped rays arrive at the reflecting surfaces from two distinct directions 28, 30.	FIGURE DESCRIPTION
In this particular embodiment, the trapped rays arrive at the partially reflecting surface 22 from one of these directions 28 after an even number of reflections from the substrate surfaces 26 and 27, wherein the incident angle βref between the trapped ray and the normal to the reflecting surface is: βref=αin−αsur2=αin2	FIGURE DESCRIPTION
The trapped rays arrive at the reflecting surface from the second direction 30 after an odd number of reflections from the substrate surfaces 26 and 27, where the off-axis angle is α'in = 180°-αin and the incident angle between the trapped ray and the normal to the reflecting surface is: βʹref=αʹin−αsur2=−αin−αsur2=−3αin2 wherein the minus sign denotes that the trapped ray impinges on the other side of the partially reflecting surface 22.	FIGURE DESCRIPTION
As illustrated in Fig. 1, for each reflecting surface, each ray first arrives at the surface from the direction 30, wherein some of the rays again impinge on the surface from direction 28.	FIGURE DESCRIPTION
In order to prevent undesired reflections and ghost images, it is important that the reflectance be negligible for the rays that impinge on the surface having the second direction 28.	EMBODIMENT
An important issue that must be considered is the actual active area of each reflecting surface.	EMBODIMENT
A potential non-uniformity in the resulting image might occur due to the different reflection sequences of different rays that reach each selectively reflecting surface: some rays arrive without previous interaction with a selectively reflecting surface;	FIGURE DESCRIPTION
other rays arrive after one or more partial reflections.	FIGURE DESCRIPTION
This effect is illustrated in Fig. 2A.	FIGURE DESCRIPTION
Assuming that, for example, αin = 50°, the ray 80 intersects the first partially reflecting surface 22 at point 82.	FIGURE DESCRIPTION
The incident angle of the ray is 25° and a portion of the ray's energy is coupled out of the substrate.	FIGURE DESCRIPTION
The ray then intersects the same selectively partially reflecting surface at point 84 at an incident angle of 75° without noticeable reflection, and then intersects again at point 86 at an incident angle of 25°, where another portion of the energy of the ray is coupled out of the substrate.	FIGURE DESCRIPTION
In contrast, the ray 88 shown in Fig. 2B, experiences only one reflection 90 from the same surface.	FIGURE DESCRIPTION
Further multiple reflections occur at other partially reflecting surfaces.	FIGURE DESCRIPTION
Fig. 3 illustrates this non-uniformity phenomenon with a detailed sectional view of the partially reflective surface 22, which couples light trapped inside the substrate out and into the eye 24 of a viewer.	FIGURE DESCRIPTION
As can be seen, the ray 80 is reflected off the upper surface 27, next to the line 100, which is the intersection of the reflecting surface 22 with the upper surface 27.	FIGURE DESCRIPTION
Since this ray does not impinge on the reflecting surface 22, its brightness remains the same and its first incidence at surface 22 is at the point 102, after double reflection from both external surfaces.	FIGURE DESCRIPTION
At this point, the light wave is partially reflected and the ray 104 is coupled out of the substrate 20.	FIGURE DESCRIPTION
For other rays, such as ray 88, which is located just below ray 80, the first incidence at surface 22 is before it meets the upper surface 27, at point 106 wherein the light wave is partially reflected and the ray 108 is coupled out of the substrate.	FIGURE DESCRIPTION
Hence, when it again impinges on surface 22, at point 110 following double reflection from the external surfaces 26, 27, the brightness of the coupled-out ray is lower than the adjacent ray 104.	FIGURE DESCRIPTION
As a result, all the rays with the same coupled-in angle as 80 that arrive at surface 22 left of the point 102 have lower brightness.	FIGURE DESCRIPTION
Consequently, the reflectance from surface 22 is actually "darker" left of the point 102 for this particular couple-in angle.	FIGURE DESCRIPTION
It is difficult to fully compensate for such differences in multiple-intersection effects nevertheless, in practice, the human eye tolerates significant variations in brightness, which remain unnoticed.	REFERENCE
For near-to-eye displays, the eye integrates the light which emerges from a single viewing angle and focuses it onto one point on the retina, and since the response curve of the eye is logarithmic, small variations, if any, in the brightness of the display will not be noticeable.	REFERENCE
Therefore, even for moderate levels of illumination uniformity within the display, the human eye experiences a high-quality image.	REFERENCE
The required moderate uniformity can readily be achieved with the element illustrated in Fig. 1. 	EMBODIMENT
For systems having large FOVs, and where a large EMB is required, a comparatively large number of partially reflecting surfaces is required, to achieve the desired output aperture.	REFERENCE
As a result, the non-uniformity due to the multiple intersections with the large number of partially reflecting surfaces becomes more dominant, especially for displays located at a distance from the eye, such as head-up displays and the non-uniformity cannot be accepted. 	REFERENCE_PROBLEM
For these cases, a more systematic method to overcome the non-uniformity is required.	REFERENCE_PROBLEM
Since the "darker" portions of the partially reflecting surfaces 22 contribute less to the coupling of the trapped light waves out of the substrate, their impact on the optical performance of the LOE can be only be negative, namely, there will be darker portions in the output aperture of the system and dark stripes will exist in the image.	REFERENCE_PROBLEM
The transparency of each one of the reflecting surfaces is, however, uniform with respect to the light waves from the external scene.	REFERENCE_PROBLEM
Therefore, if overlapping is set between the reflective surfaces to compensate for the darker portions in the output aperture, then rays from the output scene that cross these overlapped areas will suffer from double attenuations, and darker stripes will be created in the external scene.	REFERENCE_PROBLEM
This phenomenon significantly reduces the performance not only of displays which are located at a distance from the eye, such as head-up displays, but also that of near-eye displays, and hence, it cannot be utilized.	REFERENCE_PROBLEM
Fig. 4 illustrates an embodiment for overcoming this problem.	FIGURE DESCRIPTION
Only the "bright" portions of the partially reflecting surfaces 22a, 22b and 22c are embedded inside the substrate, namely, the reflecting surfaces 22a, 22b and 22c no longer intersect with the lower major surface 26, but terminate short of this surface.	FIGURE DESCRIPTION
Since the ends of the reflecting surfaces are adjacent to one another over the length of the LOE, there will be no gaps in the projected image, and since there is no overlap between the surfaces there will be no gaps in the external view.	INVENTION_ADVANTAGE
There are several ways to construct this LOE, one of which is to attach a transparent plate 120 having a thickness T, preferably by optical cementing, to the active area of the substrate.	FIGURE DESCRIPTION
In order to utilize only the active areas of the reflective surfaces 22 in the correct manner, it is important to calculate the actual active area of each partially reflective surface and the required thickness T of the plate 120.	FIGURE DESCRIPTION
As illustrated in Fig. 5, the bright aperture Dn of the reflective surface 22n in the plane of the external surface 26, as a function of the coupled-in angle αin, is: Dn=2dcotαsur+cotαin	FIGURE DESCRIPTION
Since the trapped angle αin, can be varied as a function of the FOV, it is important to know with which angle to associate each reflecting surface 22n, in order to calculate its active aperture.	FIGURE DESCRIPTION
Fig. 6 illustrates the active aperture as a function of the field angle for the following system parameters;	FIGURE DESCRIPTION
substrate thickness d=2 mm, substrate refractive index v=1.51, and partially reflecting surface angle αsur=64°.	FIGURE DESCRIPTION
In consideration of the viewing angles, it is noted that different portions of the resulting image originate from different portions of the partially reflecting surfaces.	FIGURE DESCRIPTION
Fig. 7, which is a sectional view of a compact LOE display system based on the proposed configuration, illustrates this effect.	FIGURE DESCRIPTION
Here, a single plane light wave 112, representing a particular viewing angle 114, illuminates only part of the overall array of partially reflecting surfaces 22a, 22b and 22c.	FIGURE DESCRIPTION
Thus, for each point on the partially reflecting surface, a nominal viewing angle is defined, and the required active area of the reflecting surface is calculated according to this angle.	EMBODIMENT
The exact, detailed design of the active area of the various partially reflective surfaces is performed as follows: for each particular surface, a ray is plotted (taking refraction, due to Snell's Law, into consideration) from the left edge of the surface to the center of the designated eye pupil 25.	EMBODIMENT
The calculated direction is set as the nominal incident direction and the particular active area is calculated according to that direction.	EMBODIMENT
As seen in Fig. 5, the exact values of the reflecting surfaces active areas can be used to determine the various distances T between the left edge 102 of the bright part of each reflecting surface 22n and the lower surface 26.	FIGURE DESCRIPTION
A larger active area dictates a smaller inter-surface distance.	FIGURE DESCRIPTION
This distance represents the thickness of the plate 120 (Fig. 7) that should be attached to the lower surface of the LOE.	FIGURE DESCRIPTION
As illustrated in Fig. 5, the distance T as a function of the coupled-in angle αin, is: T=d−Dn⋅cotαsur	FIGURE DESCRIPTION
Fig. 8 illustrates the required thickness T of the plate 120 as a function of the field angle, for the same parameters as set above in reference to Fig. 6.	FIGURE DESCRIPTION
It is worthwhile setting the thickness T as the maximal calculated value to assure that the phenomenon of dark stripes will be avoided in the image.	EMBODIMENT
Setting a too thick plate 120 will cause an opposite effect, namely, the appearance of bright stripes in the image.	EMBODIMENT
As illustrated in Fig. 9, two light rays, 122 and 124, are coupled inside the substrate 20.	FIGURE DESCRIPTION
The two rays are partially reflected from surface 22a at points 126 and 128, respectively.	FIGURE DESCRIPTION
Only ray 122, however, impinges on the second surface 22b at point 130 and is partially reflected there, while ray 124 skips over surface 22b without any reflectance.	FIGURE DESCRIPTION
As a result, the brightness of ray 124, which impinges on surface 22c at point 134, is higher than that of ray 122 at point 132.	FIGURE DESCRIPTION
Therefore, the brightness of the coupled-out ray 138 from point 134 is higher than that of ray 136 which is coupled-out from point 132, and a bright stripe will appear in the image.	FIGURE DESCRIPTION
Consequently, an exact value of the thickness T should be chosen to avoid dark as well as bright stripes in the image.	FIGURE DESCRIPTION
As illustrated in Fig. 10, a possible embodiment for achieving the required structure, wherein the thickness T of the plate 120 depends on the viewing angle, is to construct a wedged substrate 20', wherein the two major surfaces are not parallel.	FIGURE DESCRIPTION
A complementary transparent wedged plate 120' is attached to the substrate, preferably by optical cementing, in such a way that the combined structure forms a complete rectangular parallelepiped, i.e., the two outer major surfaces of the final LOE are parallel to each other.	FIGURE DESCRIPTION
There are, however, some drawbacks to this method.	JURIDICAL TEMPLATE
First of all, the fabrication process of the wedged LOE is more complicated and cumbersome than the parallel one.	INVENTION_PROBLEM
In addition, this solution is efficient for systems having small EMB, wherein there is a good matching between the viewing angle and the lateral position on the substrate plane.	INVENTION_PROBLEM
For systems having a large EMB, however, namely, wherein the eye can move significantly along the lateral axis, there will be no good adjustment between the viewing angle and the actual thickness of the plate 120'.	INVENTION_PROBLEM
Hence, dark or bright stripes may be seen in the image.	INVENTION_PROBLEM
This occurrence of dark or bright stripes due to the structure of the partially reflective surfaces in the LOE is not limited to the surface which creates this phenomenon.	INVENTION_PROBLEM
As illustrated with reference to Fig. 3, the brightness of the coupled ray 88, which is reflected twice by surface 22a, is lower at point 110 than that of ray 80, which is reflected only once from surface 22a at point 102.	FIGURE DESCRIPTION
As a result, the brightness of the reflected wave 112 is lower than that of the adjacent ray 104.	FIGURE DESCRIPTION
As illustrated in Fig. 11, however, not only the brightness of the reflected wave from surface 22a is different, but also the brightness of the transmitted rays 140 and 142 is different.	FIGURE DESCRIPTION
As a result, the brightness of the reflected rays 144 and 146 from surface 22b, at points 148 and 150, respectively, will be different in the same way and a dark stripe will be created also at this region of the image, as well.	FIGURE DESCRIPTION
Naturally, this dissimilarity between the rays will continue to propagate in the LOE to the next partially reflective surfaces.	INVENTION_PROBLEM
As a result, since each partially reflective surface creates its own dark or bright stripes, according to the exact incident angle, for an LOE having a large number of partially reflecting surfaces, a large amount of dark and bright stripes will be accumulated at the far edge of the output aperture of the LOE, and consequently, the image quality will be severely deteriorated.	INVENTION_PROBLEM
Another source for unevenness of the image can be the non-uniformity of the image waves which are coupled into the LOE.	INVENTION_PROBLEM
Usually, when two edges of a light source have slightly different intensities this will hardly be noticed by the viewer, if at all.	INVENTION_PROBLEM
This situation is completely different for an image which is coupled inside a substrate and gradually coupled-out, like in the LOE.	INVENTION_PROBLEM
As illustrated in Fig. 12, two rays 152 and 154 are located at the edges of the plane wave 156, which originates from the same point in the display source (not shown).	FIGURE DESCRIPTION
Assuming that the brightness of ray 152 is lower than that of ray 154 as a result of a non-perfect imaging system, this non equality will hardly be seen by direct viewing of the plane wave 156 because of the remoteness between the rays.	FIGURE DESCRIPTION
However, after being coupled into the LOE 20, this condition is changed.	FIGURE DESCRIPTION
While the ray 154 illuminates the reflecting surface 16 just right to the interface line 156 between the reflecting surface 16 and the lower major surface 26, the right ray 152 is reflected from surface 16, totally reflected from the upper surface 27, and then impinges on the lower surface 26 just left to the interface line 158.	FIGURE DESCRIPTION
As a result, the two rays 152 and 154 propagate inside the LOE 20 adjacent to each other.	FIGURE DESCRIPTION
The two exit rays 160 and 162, which originated from rays 152 and 154, respectively, and reflected from surface 22a, have accordingly different brightness.	FIGURE DESCRIPTION
Unlike the input light wave 156, however, the two different rays are adjacent to each other, and this dissimilarity will easily be seen as a dark stripe in the image.	FIGURE DESCRIPTION
These two rays 164, 165 will continue to propagate together, adjacent to each other, inside the LOE and will create a dark stripe at each place that they will be coupled out together.	FIGURE DESCRIPTION
Naturally, the best way to avoid this unevenness is to assure that all the coupled light waves into the LOE have a uniform brightness over the entire input aperture for the entire FOV.	EMBODIMENT
This demand might be very difficult to fulfil for systems having large FOV as well as wide input apertures.	INVENTION_PROBLEM
As illustrated in Figs. 13A and 13B, this unevenness problem may be solved by attaching a transparent plate to one of the major surfaces of the LOE, as described above with reference to Fig. 4.	FIGURE DESCRIPTION
In this embodiment, however, a beam splitting coating 166 is applied to the interface plane 167 between the LOE 20 and the transparent plate 120.	FIGURE DESCRIPTION
As illustrated in Fig. 13A, two light rays, 168 and 170, are coupled inside the substrate 20.	FIGURE DESCRIPTION
Only ray 168 impinges on the first partially reflective surface 22a at point 172 and is partially reflected there, while ray 170 skips over surface 22a, without any reflectance.	FIGURE DESCRIPTION
As a result, assuming that the two rays have the same brightness while coupled into the LOE, ray 170 which is reflected upward from the lower major surface 26 has a higher brightness then ray 168 which is reflected downward from the upper surface 27.	FIGURE DESCRIPTION
These two rays intersect each other at point 174, which is located at the interface plane 167.	FIGURE DESCRIPTION
Due to the beam splitting coating which is applied thereto, each one of the two intersecting rays is partially reflected and partially passes through the coating.	EMBODIMENT
Consequently, the two rays interchange energies between themselves and the emerging rays 176 and 178 from the intersection point 174 have a similar brightness, which is substantially the average brightness of the two incident rays 168 and 170.	FIGURE DESCRIPTION
In addition, the rays exchange energies with two other rays (not shown) at intersection points 180 and 182.	FIGURE DESCRIPTION
As a result of this energy exchange, the two reflected rays 184 and 186 from surface 22b will have substantially similar brightness and the bright stripe effect will be significantly improved.	INVENTION_ADVANTAGE
Similarly, as illustrated in Fig. 13B, two light rays, 188 and 190, are coupled inside the substrate 20.	FIGURE DESCRIPTION
Only ray 188, however, impinges on the first partially reflective surface 22a at point 192 and partially reflected there before being reflected by the upper surface 27.	FIGURE DESCRIPTION
As a result, assuming that the two rays have the same brightness while coupled into the LOE, ray 190 which is reflected downward from the upper major surface 27, has a higher brightness then ray 188.	FIGURE DESCRIPTION
These two rays, however, intersect each other at point 194 which is located at the interface plane 167 and exchange energies there.	FIGURE DESCRIPTION
In addition, these two rays intersect with other rays at the points 196 and 198 which are located on the beam splitting surface 167.	FIGURE DESCRIPTION
As a result, the rays 200 and 202 which are reflected from surface 22a and consequentially the rays 204 and 206 which are reflected from surface 22b, will have substantially the same brightness, and therefore, the dark stripes effect will be significantly decreased.	INVENTION_ADVANTAGE
This improved uniformity of brightness effect is applicable also for dark and bright stripes, which are caused by a non-uniform illumination at the input aperture of the LOE.	INVENTION_ADVANTAGE
As a result, the brightness distribution of the optical waves, which is trapped inside the LOE, is substantially more uniform over the output aperture of the LOE than over the input aperture.	INVENTION_ADVANTAGE
As illustrated in Fig. 13A the light rays 184, 186, which are reflected from surface 22a, intersect with the beam splitting surface 167, before being coupled out from the LOE.	FIGURE DESCRIPTION
As a result, a simple reflecting coating cannot be easily applied to surface 167 since this surface should also be transparent to the light-waves that exit the substrate 20 as well as transparent to the light wave from the external scene for see-through applications, namely, the light-waves should pass through plane 167 at small incident angles, and be partially reflected at higher incident angles.	FIGURE DESCRIPTION
Usually, the passing incident angles are between 0° and 15° and the partially reflecting incident angles are between 40° and 65°.	EMBODIMENT
In addition, since the light rays cross the interface surface 167 many times while propagating inside the LOE, the absorption of the coating should be negligible.	EMBODIMENT
As a result, a simple metallic coating cannot be used and a dielectric thin-film coating, having a high transparency has to be utilized.	EMBODIMENT
Fig. 14 illustrates for s-polarization the reflectance curves as functions of the incident angles for three representative wavelengths in the photopic region: 470 nm, 550 nm and 630 nm.	FIGURE DESCRIPTION
As illustrated, it is possible to achieve the required behavior of partial reflectance (between 45% and 55%) at large incident angles between 40° and 65° and low reflectance (below 5%) at small incident angles, for s-polarized light-waves.	FIGURE DESCRIPTION
For p-polarized light-waves, it is impossible to achieve substantial reflectance at incident angles between 40° and 65°, due to the proximity to the Brewster angle.	FIGURE DESCRIPTION
Since the polarization which is usually utilized for an LOE-based imaging system, is the s-polarization, the required beam splitter can be fairly easily applied.	EMBODIMENT
However, since the beam splitting coating should be substantially transparent for light waves from the external scene which impinge on the interface surface at low incident angles and which are substantially non-polarized, the coating should have low reflectance (below 5%) at small incident angles also for p-polarized light waves.	EMBODIMENT
A difficulty still existing is that the LOE 20 is assembled from several different components.	INVENTION_PROBLEM
Since the fabrication process usually involves cementing optical elements, and since the required angular-sensitive reflecting coating is applied to the light-guide surface only after the body of the LOE 20 is complete, it is not possible to utilize the conventional hot-coating procedures that may damage the cemented areas. 	EMBODIMENT
Novel thin-film technologies, as well as ion-assisted coating procedures, can also be used for cold processing.	EMBODIMENT
Eliminating the need to heat parts, allows cemented parts to be safely coated.	INVENTION_ADVANTAGE
An alternative is that the required coating can simply be applied to transparent plate 120, which is adjacent to the LOE 20, utilizing conventional hot-coating procedures and then cementing it at the proper place.	EMBODIMENT
Clearly, his alternative approach can be utilized only if the transparent plate 120 is not too thin and hence might be deformed during the coating process.	EMBODIMENT
There are some issues that should be taken into consideration while designing a beam splitting mechanism as illustrate above:	EMBODIMENT
a. Since the rays which are trapped inside the LOE are not only totally reflected from the major surfaces 26 and 27, but also from the internal partially reflecting interface plane 167, it is important that all three of these surfaces will be parallel to each other to ensure that coupled rays will retain their original coupling-in direction inside the LOE.	EMBODIMENT
b. As illustrated in Figs. 13A and 13B, the transparent plate 120 is thinner than the original LOE 20.	FIGURE DESCRIPTION
Unlike the considerations which were brought regarding to the uncoated plate in Figs. 7-10, wherein the thickness of plate 120 is important for uniformity optimization, however, here the thickness of the coated plate might be chosen according to other considerations.	FIGURE DESCRIPTION
On one hand, it is easier to fabricate, coat and cement a thicker plate.	INVENTION_ADVANTAGE
On the other hand with a thinner plate the effective volume of the LOE 20, which is practically coupled the light waves out of the substrate, is higher for a given substrate thickness.	INVENTION_ADVANTAGE
In addition, the exact ratio between the thicknesses of the plate 120 and the LOE 20 might influence the energy interchange process inside the substrate.	EMBODIMENT
c. Usually, for beam splitters which are designated for full color images the reflectance curve should be as uniform as possible for the entire photopic region, in order to abort chromatic effects.	EMBODIMENT
Since, however, in the configurations which are illustrated in the present invention the various rays intersect with each other many times before being coupled out from the LOE 20, this requirement is no longer essential.	EMBODIMENT
Naturally, the beam-splitting coating should take into account the entire wavelengths spectrum of the coupled image, but the chromatic flatness of the partially reflecting curve may be tolerated according to various parameters of the system.	EMBODIMENT
d. The reflectance-transmittance ratio of the beam-splitting coating should not necessarily be 50%-50%.	EMBODIMENT
Other ratios may be utilized in order to achieve the required energies exchange between the darker and the brighter rays.	EMBODIMENT
Moreover, as illustrated in Fig. 15, a simpler beam-splitter coating can be utilized, wherein the reflectance is gradually increased from 35% at an incident angle of 40° to 60% at an incident angle of 65°.	FIGURE DESCRIPTION
e. The number of the beam-splitting surfaces which are added to the LOE is not limited to one.	EMBODIMENT
As illustrated in Fig. 16, another transparent plate 208 may be cemented to the upper surface of the LOE, wherein a similar beam-splitting coating is applied to the interface plane 210 between the LOE 20 and the upper plate 208, to form an optical device with two beam splitting surfaces.	FIGURE DESCRIPTION
