SHOVEL, SHOVEL CONTROL METHOD, AND MOBILE INFORMATION TERMINAL	PATENT TITLE
FIG. 5 is a flowchart illustrating another example of a process for obtaining data used for analysis by the management apparatus;	FIGURE DESCRIPTION
andFIG. 6 is a flowchart illustrating still another example of a process for obtaining data used for analysis by the management apparatus.	FIGURE DESCRIPTION
DESCRIPTION OF EMBODIMENTS	SECTION TITLE
Below, embodiments of the present invention are described with reference to drawings.	JURIDICAL TEMPLATE
Throughout the drawings, the same reference number is assigned to the same component, and repeated descriptions of the component may be omitted.	JURIDICAL TEMPLATE
FIG. 1 is a side view of an example of a shovel according to an embodiment of the present invention.	FIGURE DESCRIPTION
A shovel PS includes a lower traveling body 1 on which an upper rotating body 3 is rotatably mounted via a rotation mechanism 2.	FIGURE DESCRIPTION
A boom 4 is attached to the upper rotating body 3.	FIGURE DESCRIPTION
An arm 5 is attached to an end of the boom 4.	FIGURE DESCRIPTION
A bucket 6 is attached as an end attachment (working part) to an end of the arm 5 with an arm top pin P1 and a bucket link pin P2.	FIGURE DESCRIPTION
Other examples of end attachments include a slope finishing bucket, a dredging bucket, and a breaker.	EMBODIMENT
The boom 4, the arm 5, and the bucket 6 constitute an excavation attachment as an example of an attachment, and are hydraulically driven by a boom cylinder 7, an arm cylinder 8, and a bucket cylinder 9, respectively.	FIGURE DESCRIPTION
A boom angle sensor S1 is attached to the boom 4, an arm angle sensor S2 is attached to the arm 5, and a bucket angle sensor S3 is attached to the bucket 6.	FIGURE DESCRIPTION
The excavation attachment may include a bucket tilting mechanism.	EMBODIMENT
The boom angle sensor S1, the arm angle sensor S2, and the bucket angle sensor S3 may also be referred to as "attitude sensors".	EMBODIMENT
The upper rotating body 3 includes a power source such as an engine 11 and a body tilt sensor S4 that are covered by a cover 3a.	FIGURE DESCRIPTION
An imaging apparatus 80 is provided on an upper surface of the cover 3a of the upper rotating body 3.	FIGURE DESCRIPTION
The imaging apparatus 80 includes a front monitoring camera 80F, a left-side monitoring camera 80L, a rear monitoring camera 80B, and a right-side monitoring camera 80R.	FIGURE DESCRIPTION
The upper rotating body 3 includes a cabin 10 as an operator cab.	FIGURE DESCRIPTION
A GPS device (GNSS receiver) G1 and a transmitter T1 are provided on the top of the cabin 10.	FIGURE DESCRIPTION
The GPS device (GNSS receiver) G1 detects the position of the shovel PS using a GPS function, and provides positional data to a machine guidance device 50 in a controller 30.	EMBODIMENT
The transmitter T1 transmits information to the outside of the shovel PS.	EMBODIMENT
For example, the transmitter T1 transmits information that a management apparatus 90 described later can receive.	EMBODIMENT
Also, the controller 30, a display device 40, an audio output device 43, an input device 45, and a storage device 47 are provided in the cabin 10.	FIGURE DESCRIPTION
The controller 30 functions as a main controller for driving and controlling the shovel PS.	EMBODIMENT
The controller 30 is a processor including a CPU and an internal memory.	EMBODIMENT
The CPU executes a program stored in the internal memory to implement various functions of the controller 30.	EMBODIMENT
The controller 30 also functions as the machine guidance device 50 for guiding the operations of the shovel PS.	EMBODIMENT
For example, the machine guidance device 50 provides an operator with work information such as a distance between a target surface, which is a surface of a target land set by the operator, and a working part of an attachment.	EMBODIMENT
The distance between the target surface and the working part of the attachment is, for example, a distance between the target surface and an end (tip) of the bucket 6 as an end attachment, the back side of the bucket 6, or an end of a breaker as an end attachment.	EMBODIMENT
The machine guidance device 50 provides the operator with work information via, for example, the display device 40 and the audio output device 43, and thereby guides the operations of the shovel PS.	EMBODIMENT
Although the machine guidance device 50 is provided in the controller 30 in the present embodiment, the machine guidance device 50 and the controller 30 may be provided separately.	EMBODIMENT
In this case, similarly to the controller 30, the machine guidance device 50 is implemented by a processor including a CPU and an internal memory.	EMBODIMENT
The CPU executes a program stored in the internal memory to implement various functions of the machine guidance device 50.	EMBODIMENT
The display device 40 displays images including various types of work information according to commands from the machine guidance device 50 included in the controller 30.	EMBODIMENT
The display device 40 is, for example, an on-board liquid crystal display connected to the machine guidance device 50.	EMBODIMENT
The audio output device 43 outputs various types of audio information according to audio output commands from the machine guidance device 50 included in the controller 30.	EMBODIMENT
The audio output device 43 includes, for example, an on-board speaker connected to the machine guidance device 50. 	EMBODIMENT
The audio output device 43 may also include an alarm such as a buzzer.	EMBODIMENT
The input device 45 is used by the operator of the shovel PS to input various types of information to the controller 30 including the machine guidance device 50.	EMBODIMENT
The input device 45 includes, for example, a membrane switch provided on the surface of the display device 40. 	EMBODIMENT
The input device 45 may also include a touch panel.	EMBODIMENT
The storage device 47 stores various types of information.	EMBODIMENT
The storage device 47 is, for example, a non-volatile storage medium such as a semiconductor memory.	EMBODIMENT
The storage device 47 stores various types of information output from, for example, the controller 30 including the machine guidance device 50.	EMBODIMENT
A gate lock lever 49 is a mechanism provided between a door of the cabin 10 and a cab seat to prevent the shovel PS from being mistakenly operated.	FIGURE DESCRIPTION
The controller 30 controls a gate lock valve 49a (see FIG. 2) to be in a "closed" state when the gate lock lever 49 is in a lower position and controls the gate lock valve 49a to be in an "open" state when the gate lock lever 49 is in an upper position.	EMBODIMENT
The gate lock valve 49a is a switching valve provided in a hydraulic path between a control valve 17 and operation levers 26A-26C (see FIG. 2).	FIGURE DESCRIPTION
The gate lock valve 49a is configured to open and close according to commands from the controller 30.	EMBODIMENT
However, the gate lock valve 49a may be mechanically connected to the gate lock lever 49 and configured to open and close according to operations of the gate lock lever 49.	EMBODIMENT
In the "closed" state, the gate lock valve 49a blocks the flow of hydraulic oil between the control valve 17 and the operation levers 26A-26C to disable operations of the operation levers 26A-26C.	EMBODIMENT
In the "open" state, the gate lock valve 49a allows the hydraulic oil to flow between the control valve 17 and the operation levers 26A-26C to enable operations of the operation levers 26A-26C.	EMBODIMENT
That is, when an operator sits in the cab seat and pulls up the gate lock lever 49, the operator becomes unable to exit the cabin 10, and various operation devices become operable (unlocked state).	FIGURE DESCRIPTION
When the operator presses down the gate lock lever 49, the operator is enabled to exit the cabin 10, and the various operation devices become inoperable (locked state).	FIGURE DESCRIPTION
FIG. 2 is a block diagram illustrating an example of a configuration of a driving system of the shovel PS of FIG. 1.	FIGURE DESCRIPTION
The driving system of the shovel PS includes the engine 11, a main pump 14, a pilot pump 15, the control valve 17, an operation device 26, the controller 30, an engine controller (ECU) 74, an engine speed adjustment dial 75, and operation valves 100.	EMBODIMENT
The engine 11 is a driving source of the shovel PS.	EMBODIMENT
For example, the engine 11 is a diesel engine that operates to keep a predetermined speed.	EMBODIMENT
The output shaft of the engine 11 is connected to the input shafts of the main pump 14 and the pilot pump 15.	EMBODIMENT
The main pump 14 is a hydraulic pump that supplies hydraulic oil via a high-pressure hydraulic line 16 to the control valve 17 and is, for example, a swash plate variable displacement hydraulic pump.	EMBODIMENT
The pilot pump 15 is a hydraulic pump that supplies hydraulic oil via pilot lines 25 to various hydraulic control devices and is, for example, a fixed displacement hydraulic pump.	EMBODIMENT
The control valve 17 is a hydraulic control valve for controlling the hydraulic system of the shovel PS.	EMBODIMENT
For example, the control valve 17 selectively supplies hydraulic oil supplied from the main pump 14 to one or more of the boom cylinder 7, the arm cylinder 8, the bucket cylinder 9, a traveling hydraulic motor (right) 1A, a traveling hydraulic motor (left) 1B, and a rotating hydraulic motor 2A.	EMBODIMENT
In the descriptions below, the boom cylinder 7, the arm cylinder 8, the bucket cylinder 9, the traveling hydraulic motor (right) 1A, the traveling hydraulic motor (left) 1B, and the rotating hydraulic motor 2A are collectively referred to as "hydraulic actuators".	EMBODIMENT
The operation device 26 is used by the operator to operate the hydraulic actuators, and supplies hydraulic oil supplied from the pilot pump 15 via the pilot lines 25 to the pilot ports of flow control valves corresponding to the hydraulic actuators.	EMBODIMENT
The pressure of the hydraulic oil supplied to each of the pilot ports corresponds to the operation direction and the operation amount of one of the operation levers 26A-26C corresponding to one of the hydraulic actuators.	EMBODIMENT
The controller 30 is a control device for controlling the shovel PS, and is implemented by a computer including, for example, a CPU, a RAM, and a ROM.	EMBODIMENT
The CPU of the controller 30 reads programs corresponding to operations and functions of the shovel PS from the ROM, loads the programs into the RAM, and executes the loaded programs to perform processes corresponding to the programs.	EMBODIMENT
ECU 74 is a device for controlling the engine 11.	EMBODIMENT
For example, based on a command from the controller 30, the ECU 74 outputs to the engine 11 a fuel injection amount for controlling the speed of the engine 11 according to an engine speed (mode) set by the operator using the engine speed adjustment dial 75.	EMBODIMENT
The engine speed adjustment dial 75 is used to adjust the engine speed.	EMBODIMENT
In the embodiment of the present invention, the engine speed adjustment dial 75 enables the operator to select the engine speed from four levels.	EMBODIMENT
For example, the engine speed adjustment dial 75 enables the operator to select the engine speed from four levels including an SP mode, an H mode, an A mode, and an IDLE mode.	EMBODIMENT
In FIG. 2, the H mode is selected with the engine speed adjustment dial 75.	FIGURE DESCRIPTION
The SP mode is an operation mode that is selected when the amount of work is prioritized, and uses the highest engine speed.	EMBODIMENT
The H mode is an operation mode that is selected to satisfy both the amount of work and the fuel efficiency, and uses the second highest engine speed.	EMBODIMENT
The A mode is an operation mode that is selected to drive the shovel PS with low noise while prioritizing fuel efficiency, and uses the third highest engine speed.	EMBODIMENT
The IDLE mode is an operation mode that is selected to place the engine in an idling state, and uses the lowest engine speed.	EMBODIMENT
The engine 11 is controlled to rotate at a constant engine speed corresponding to the operation mode that is set using the engine speed adjustment dial 75.	EMBODIMENT
The operation valves 100 are used by the controller 30 to operate the hydraulic actuators.	EMBODIMENT
The operation valves 100 supply hydraulic oil supplied from the pilot pump 15 via the pilot lines 25 to the pilot ports of the flow control valves corresponding to the hydraulic actuators.	EMBODIMENT
The pressure of the hydraulic oil supplied to each of the pilot ports corresponds to a control signal from the controller 30.	EMBODIMENT
Depending on preset operations, the operation valve 100 is provided on at least one of the rod side and the bottom side of each of the cylinders of the boom 4, the arm 5, and the bucket 6 constituting an attachment.	EMBODIMENT
The operation valve 100 may be provided on each of the rod side and the bottom side.	EMBODIMENT
Also, the operation valve 100 is provided on at least one of the outlet side and the inlet side of each of the traveling hydraulic motor (right) 1A, the traveling hydraulic motor (left) 1B, and the rotating hydraulic motor 2A.	EMBODIMENT
The operation valve 100 may be provided on each of the outlet side and the inlet side.	EMBODIMENT
In this case, a preset operation can be performed even when the operation device 26 is in the neutral position.	EMBODIMENT
Further, a pressure reducing valve disposed between the operation device 26 and the control valve 17 may be used as the operation valve 100.	EMBODIMENT
In this case, a stable operation command can be given to the control valve 17 by sending a pressure reducing command from the controller 30 to the pressure reducing valve while the operation device 26 is fully pressed down.	EMBODIMENT
The shovel PS also includes the display device 40.	EMBODIMENT
The display device 40 is connected to the controller 30 via a communication network such as a Controller Area Network (CAN) or a Local Interconnect Network (LIN).	EMBODIMENT
Also, the display device 40 may be connected to the controller 30 via a dedicated line.	FIGURE DESCRIPTION
The display device 40 includes a conversion processor 40a for generating an image to be displayed on an image display 41.	EMBODIMENT
The conversion processor 40a generates a camera image to be displayed on the image display 41 based on an output from the imaging apparatus 80.	EMBODIMENT
Therefore, the imaging apparatus 80 is connected via, for example, a dedicated line to the display device 40.	FIGURE DESCRIPTION
The conversion processor 40a also generates an image to be displayed on the image display 41 based on an output from the controller 30.	EMBODIMENT
The imaging apparatus 80 includes the front monitoring camera 80F, the left-side monitoring camera 80L, the rear monitoring camera 80B, and the right-side monitoring camera 80R.	FIGURE DESCRIPTION
The front monitoring camera 80F is provided on the front side of the cabin 10, e.g., on the ceiling of the cabin 10, and captures images of a scene in front of the shovel PS and operations of the boom 4, the arm 5, and the bucket 6.	FIGURE DESCRIPTION
The left-side monitoring camera 80L is provided, for example, on the left-side of the upper surface of the cover 3a of the upper rotating body 3 and captures an image of a scene to the left of the shovel PS.	FIGURE DESCRIPTION
The rear monitoring camera 80B is provided on the rear side of the upper rotating body 3, for example, on the rear side of the upper surface of the cover 3a of the upper rotating body 3, and captures an image of a scene behind the shovel PS.	FIGURE DESCRIPTION
The right-side monitoring camera 80R is provided, for example, on the right-side of the upper surface the cover 3a of the upper rotating body 3, and captures an image of a scene to the right of the shovel PS.	FIGURE DESCRIPTION
Each of the front monitoring camera 80F, the left-side monitoring camera 80L, the rear monitoring camera 80B, and the right-side monitoring camera 80R is, for example, a digital camera including an imaging device such as a CCD or a CMOS, and transmits a captured image to the display device 40 provided in the cabin 10.	EMBODIMENT
The conversion processor 40a may be implemented as a function of the controller 30 rather than a function of the display device 40.	EMBODIMENT
In this case, the imaging apparatus 80 is connected to the controller 30 instead of the display device 40.	EMBODIMENT
The display device 40 also includes a switch panel as an input unit 42.	FIGURE DESCRIPTION
The switch panel is a panel that includes various hardware switches.	EMBODIMENT
For example, the switch panel includes a light switch 42a, a wiper switch 42b, and a window washer switch 42c that are implemented as hardware buttons.	FIGURE DESCRIPTION
The light switch 42a is used to turn on and off a light attached to the outside of the cabin 10.	EMBODIMENT
The wiper switch 42b is used to start and stop a wiper.	EMBODIMENT
The window washer switch 42c is used to discharge a window washer liquid.	EMBODIMENT
The display device 40 is driven by power supplied from a battery 70.	EMBODIMENT
The battery 70 is charged by power generated by an alternator 11a (generator) of the engine 11.	EMBODIMENT
The power of the battery 70 is also supplied to an electrical component 72 of the shovel PS other than the controller 30 and the display device 40.	EMBODIMENT
A starter 11b of the engine 11 is also driven by power supplied from the battery 70 to start the engine 11.	EMBODIMENT
The engine 11 is controlled by the ECU 74.	EMBODIMENT
The ECU 74 constantly transmits, to the controller 30, various types of data (e.g., data indicating a cooling water temperature detected by a water temperature sensor 11c) indicating states of the engine 11.	EMBODIMENT
Accordingly, the controller 30 can store the data in a temporary storage 30a and transmit the data to the display device 40 when needed.	EMBODIMENT
As described below, various types of data are supplied to the controller 30 and stored in the temporary storage 30a of the controller 30.	EMBODIMENT
The stored data can be transmitted to the display device 40 when needed.	EMBODIMENT
First, a regulator 14a of the main pump 14, which is a variable displacement hydraulic pump, transmits data indicating a swash plate angle to the controller 30.	EMBODIMENT
Also, a discharge pressure sensor 14b transmits data indicating a discharge pressure of the main pump 14 to the controller 30.	EMBODIMENT
An oil temperature sensor 14c is provided in a pipe line between the main pump 14 and a tank containing hydraulic oil that is taken in by the main pump 14, and the oil temperature sensor 14c transmits data indicating the temperature of the hydraulic oil flowing through the pipe line to the controller 30.	EMBODIMENT
Oil pressure sensors 15a and 15b detect pilot pressures fed to the control valve 17 when the operation levers 26A-26C are operated, and transmit data indicating the detected pilot pressures to the controller 30.	EMBODIMENT
Further, the engine speed adjustment dial 75 constantly transmits data indicating the set engine speed to the controller 30.	EMBODIMENT
The shovel PS can communicate with the management apparatus 90 via a communication network 93.	EMBODIMENT
The management apparatus 90 is, for example, a computer installed in the manufacturer of the shovel PS or a service center, and enables specialized staff (e.g., a designer) to remotely monitor the state of the shovel PS.	EMBODIMENT
The controller 30 can store data indicating values detected by various state detecting sensors included in the shovel PS in, for example, the temporary storage 30a and transmit the stored data to the management apparatus 90.	EMBODIMENT
The controller 30 may include a radio communication function and may be capable of communicating with the management apparatus 90 via the communication network 93.	EMBODIMENT
The data indicating the values detected by the state detecting sensors is transmitted from the shovel PS to the management apparatus 90, and is received by a receiver 90a of the management apparatus 90.	EMBODIMENT
Then, the specialized staff analyzes the received data, and determines the state of the shovel PS.	EMBODIMENT
For example, the specialized staff may determine whether a failure or a malfunction exists;	EMBODIMENT
and if a failure or a malfunction exists, identify the location and the cause of the failure or the malfunction.	EMBODIMENT
This in turn enables the specialized staff to bring, for example, parts necessary to repair the shovel PS in advance, and thereby reduce the time necessary for the maintenance or repair.	INVENTION_ADVANTAGE
The management apparatus 90 includes a processor 90b.	FIGURE DESCRIPTION
The processor 90b may process the values detected by the state detecting sensors and transmitted from the shovel PS according to a predetermined program input beforehand.	EMBODIMENT
For example, the processor 90b may include a diagnostic program that has been input and may perform failure diagnosis or failure prediction using the detection values transmitted from the shovel PS according to the diagnostic program.	EMBODIMENT
The processing results of the processor 90b may be displayed on a display 90c of the management apparatus 90.	FIGURE DESCRIPTION
The management apparatus 90 may be configured to be able to indirectly communicate with the shovel PS via, for example, a server provided in the manufacturer of the shovel PS or a service center.	EMBODIMENT
The management apparatus 90 may be a computer permanently installed in the manufacturer or the service center, or a portable computer that the specialized staff can carry.	EMBODIMENT
The portable computer may be, for example, a multifunction mobile information terminal or a mobile terminal such as a smartphone or a tablet terminal.	EMBODIMENT
When the management apparatus 90 is a portable computer, the specialized staff can bring the management apparatus 90 to an inspection or repair site, and perform inspection or repair work by referring to a display (display 90c) of the management apparatus 90.	EMBODIMENT
This in turn makes it possible to improve the efficiency of inspection and repair work.	INVENTION_ADVANTAGE
Also, when the management apparatus 90 is a mobile terminal, the management apparatus 90 may be configured to directly communicate with the shovel using a near field communication technology such as Bluetooth (registered trademark) or infrared communication without using a communication network.	EMBODIMENT
In this case, the specialized staff can transmit a command to execute a preset operation from the mobile terminal to the shovel by entering the command on the screen of the mobile terminal or via a voice input.	EMBODIMENT
That is, a command is transmitted from the mobile terminal to the shovel to cause the shovel to store values detected by the state detecting sensors during the execution of the preset operation in association with the preset operation.	EMBODIMENT
Then, the shovel transmits the results of the preset operation to the mobile terminal so that the results of the preset operation can be confirmed on a screen of the mobile terminal.	EMBODIMENT
The state detecting sensors included in the shovel PS are sensors that detect the operating states of respective components of the shovel PS.	REPHRASED CLAIM
For example, the state detecting sensors include the boom angle sensor S1, the arm angle sensor S2, the bucket angle sensor S3, the body tilt sensor S4, a rotation angle sensor S5, a traveling rotation sensor (right) S6A, and a traveling rotation sensor (left) S6B.	FIGURE DESCRIPTION
The boom angle sensor S1 is provided on a support (joint) of the boom 4 joined to the upper rotating body 3, and detects an angle (boom angle) of the boom 4 with respect to a horizontal plane.	FIGURE DESCRIPTION
The boom angle sensor S1 may be implemented by any angle sensor such as a rotary potentiometer.	EMBODIMENT
This also applies to the arm angle sensor S2 and the bucket angle sensor S3 described later.	EMBODIMENT
The detected boom angle is transmitted to the controller 30.	EMBODIMENT
The arm angle sensor S2 is provided on a support (joint) of the arm 5 joined to the boom 4, and detects an angle (arm angle) of the arm 5 with respect to the boom 4.	FIGURE DESCRIPTION
The detected arm angle is transmitted to the controller 30.	EMBODIMENT
The bucket angle sensor S3 is provided on a support (joint) of the bucket 6 joined to the arm 5, and detects an angle (bucket angle) of the bucket 6 with respect to the arm 5.	FIGURE DESCRIPTION
The detected bucket angle is transmitted to the controller 30.	EMBODIMENT
The body tilt sensor S4 detects tilt angles of the shovel PS with respect to a horizontal plane in two axial directions (longitudinal direction and lateral direction).	EMBODIMENT
The body tilt sensor S4 may be implemented by any tilt sensor such as a liquid-encapsulated capacitive tilt sensor.	EMBODIMENT
The detected tilt angles are transmitted to the controller 30.	EMBODIMENT
The rotation angle sensor S5 detects a rotation angle of the upper rotating body 3 rotated by the rotation mechanism 2.	EMBODIMENT
The rotation angle sensor S5 may be implemented by any angle sensor such as a rotary encoder.	EMBODIMENT
The detected rotation angle is transmitted to the controller 30.	EMBODIMENT
The traveling rotation sensor (right) S6A and the traveling rotation sensor (left) S6B detect the rotation speeds of the traveling hydraulic motor (right) 1A and the traveling hydraulic motor (left) 1B, respectively.	EMBODIMENT
Each of the traveling rotation sensor (right) S6A and the traveling rotation sensor (left) S6B may be implemented by any rotation sensor such as a magnetic rotation sensor.	EMBODIMENT
The detected rotation speeds are transmitted to the controller 30.	EMBODIMENT
As described above, the state detecting sensors in the shovel PS also include the water temperature sensor 11c, the regulator 14a, the discharge pressure sensor 14b, the oil temperature sensor 14c, the oil pressure sensors 15a and 15b, the engine speed adjustment dial 75, and the imaging apparatus 80.	FIGURE DESCRIPTION
Values detected by these sensors are also transmitted to the controller 30.	EMBODIMENT
The data transmitted from the state detecting sensors in the shovel PS to the controller 30 is stored in the temporary storage 30a of the controller 30.	EMBODIMENT
Here, when the detection values of the state detecting sensors transmitted from the shovel PS are analyzed by the management apparatus 90, there may be a case where the operating conditions under which the detection values are detected are not known.	INVENTION_PROBLEM
Also, even if the values have been detected under predetermined operating conditions and transmitted, the reliability of whether the values have been actually detected under the predetermined operating conditions may be low.	INVENTION_PROBLEM
Further, values detected under the same predetermined operating conditions may still vary due to, for example, the differences in the skill of operators.	INVENTION_PROBLEM
These problems may increase the time necessary for the analysis, may result in ineffective analysis results, and may require the specialized staff to go to the actual site to measure values again.	INVENTION_PROBLEM
For the above reasons, according to the embodiment of the present invention, to obtain data to be transmitted to the management apparatus 90, a preset operation is executed under the control of the controller 30 instead of requiring the operator to operate the operation device 26.	EMBODIMENT
Values detected by the state detecting sensors during the preset operation are associated with the preset operation and transmitted to the management apparatus 90.	EMBODIMENT
This eliminates the need for the operator to operate the operation device 26.	INVENTION_ADVANTAGE
Accordingly, the above embodiment makes it possible to reduce the burden of operators and reduce operational variations resulting from the differences in the skill of the operators.	INVENTION_ADVANTAGE
This in turn makes it possible to obtain reliable data.	INVENTION_ADVANTAGE
FIG. 3 is a drawing illustrating an example of a diagnosis menu selection screen displayed on the image display 41.	FIGURE DESCRIPTION
As illustrated in FIG. 3, the diagnosis menu selection screen includes a diagnosis menu display 410.	FIGURE DESCRIPTION
An image displayed on the diagnosis menu display 410 is generated by the conversion processor 40a of the display device 40 based on various data transmitted from the controller 30.	EMBODIMENT
The diagnosis menu display 410 displays multiple diagnosis menu items corresponding to portions to be diagnosed.	EMBODIMENT
In the example of FIG. 3, the diagnosis menu display 410 displays five diagnosis menu items including "Comprehensive Diagnosis", "Simple Diagnosis", "Engine", "Hydraulic System", and "Rotation System".	FIGURE DESCRIPTION
The diagnosis menu items are stored in, for example, the ROM of the controller 30 in advance.	EMBODIMENT
Each of the diagnosis menu items may include one or more preset operations.	EMBODIMENT
The image display 41 also displays a menu item "End" that is used to end the display of the diagnosis menu.	EMBODIMENT
The operator can select a diagnosis menu item to be executed by touching the diagnosis menu item in the diagnosis menu selection screen displayed on the image display 41.	EMBODIMENT
Instead of a touch operation, a diagnosis menu item may also be selected through a button operation.	EMBODIMENT
Comprehensive Diagnosis is a diagnosis menu item for comprehensively diagnosing whether components of the shovel PS are functioning normally and includes, for example, an engine preset operation(s), a hydraulic system preset operation(s), and a rotation mechanism preset operation(s).	EMBODIMENT
When the operator selects "Comprehensive Diagnosis", the controller 30 executes the engine preset operations, the hydraulic system preset operations, and the rotation mechanism preset operations.	EMBODIMENT
Comprehensive Diagnosis may include other preset operations instead of or in addition to the above-described preset operations (the engine preset operations, the hydraulic system preset operations, and the rotation mechanism preset operations).	EMBODIMENT
Simple Diagnosis is a diagnosis menu item that simply diagnoses whether components of the shovel PS are functioning normally.	EMBODIMENT
For example, "Simple Diagnosis" includes a part of the engine preset operations and a part of the hydraulic system preset operations, and does not include operations of the attachment of the shovel PS and rotational operations.	EMBODIMENT
When the operator selects "Simple Diagnosis", the controller 30 executes a part of the engine preset operations and a part of the hydraulic system preset operations of the shovel PS.	EMBODIMENT
The "Simple Diagnosis" may include other preset operations instead of or in addition to the above-described preset operations (a part of the engine preset operations and a part of the hydraulic system preset operations).	EMBODIMENT
Engine is a diagnosis menu item that includes one or more preset operations for diagnosing whether the engine 11 is functioning normally.	EMBODIMENT
When the operator selects "Engine", the controller 30 executes the engine preset operations related to the engine of the shovel PS.	EMBODIMENT
Hydraulic System is a diagnosis menu item that includes one or more preset operations for diagnosing whether the hydraulic system is functioning normally.	EMBODIMENT
For example, "Hydraulic System" includes one or more preset operations for diagnosing hydraulic pumps such as the main pump 14 and the pilot pump 15 and the hydraulic actuators.	EMBODIMENT
Hydraulic System may include, for example, a preset operation α "close the arm up to the stroke end (arm closing operation)" and a preset operation β "raise the boom up to the stroke end with the arm closed (boom raising operation)".	EMBODIMENT
Hydraulic System may include other preset operations instead of or in addition to the above-described preset operations (preset operations α and β) .	EMBODIMENT
Here, exemplary preset operations for the attachment including the boom 4 and the arm 5 are described.	EMBODIMENT
First, the controller 30 outputs a command to the operation valve 100 to rotate the boom 4 up to the stroke end in the boom raising operation.	EMBODIMENT
Then, the controller 30 continuously applies a load to the boom 4.	EMBODIMENT
That is, the controller 30 controls the control valve 17 such that hydraulic oil continuously flows to the boom cylinder 7.	EMBODIMENT
In this state, because the boom 4 is at the stroke end, the hydraulic oil is discharged from a relief valve into a tank.	EMBODIMENT
Thus, it is possible to continuously apply a load to the boom 4 by rotating the boom 4 up to the stroke end of the cylinder.	EMBODIMENT
This makes it possible to obtain diagnostic data in a reproducible and stable state in any working environment.	INVENTION_ADVANTAGE
The same applies to the arm 5 and the bucket 6.	EMBODIMENT
Further, after the boom 4 reaches the stroke end of the cylinder, the load may be varied by adjusting the regulator 14a of the main pump 14 or by changing the engine speed.	EMBODIMENT
Detecting a change in the cylinder pressure of an attachment such as the boom 4 or a change in the discharge pressure of the main pump 14 when the load is varied makes it possible to reproduce a dynamic state and further improve the accuracy of diagnosis.	INVENTION_ADVANTAGE
Thus, this method makes it possible to diagnose even the main pump 14 and the engine 11 in addition to hydraulic circuits.	INVENTION_ADVANTAGE
Rotation System is a diagnosis menu item including one or more preset operations for diagnosing whether the rotation mechanism 2 (the rotating hydraulic motor 2A, a rotation speed reducer, etc.) is functioning normally.	EMBODIMENT
Rotation System includes, for example, a preset operation "rotate with the attachment closed (rotation operation)" as a preset operation.	EMBODIMENT
Rotation System may include other preset operations instead of or in addition to the above preset operation (the rotation operation as a preset operation).	EMBODIMENT
Here, an example of a preset operation such as rotating or traveling for a drive mechanism using a hydraulic motor is described.	EMBODIMENT
First, the controller 30 outputs a command to the operation valve 100 to set an attachment such as the boom 4 in a predetermined attitude.	EMBODIMENT
